# t[days] FUV NUV
0.50000 27.597 25.611 
0.60000 28.284 26.024 
0.70000 29.120 26.537 
0.80000 29.985 27.083 
0.90000 30.864 27.647 
1.00000 31.747 28.221 
1.10000 32.631 28.800 
1.20000 33.759 29.527 
1.30000 34.898 30.267 
1.40000 36.041 31.013 
1.50000 37.183 31.762 
1.60000 38.320 32.510 
1.70000 39.450 33.256 
1.80000 40.572 33.998 
1.90000 41.685 34.737 
2.00000 42.789 35.471 
2.10000 43.884 36.201 
2.20000 44.970 36.926 
2.30000 46.049 37.647 
2.40000 47.119 38.363 
2.50000 48.183 39.076 
2.60000 49.240 39.786 
2.70000 50.290 40.491 
2.80000 51.335 41.194 
2.90000 52.373 41.893 
3.00000 53.406 42.589 
3.10000 54.434 43.283 
3.20000 55.457 43.973 
3.30000 56.475 44.661 
3.40000 57.489 45.347 
3.50000 58.498 46.030 
3.60000 59.503 46.710 
3.70000 60.504 47.388 
3.80000 61.501 48.064 
3.90000 62.494 48.738 
4.00000 63.484 49.410 
4.10000 64.470 50.080 
4.20000 65.453 50.747 
4.30000 66.432 51.413 
4.40000 67.408 52.077 
4.50000 68.381 52.739 
4.60000 69.351 53.399 
4.70000 70.317 54.057 
4.80000 71.281 54.713 
4.90000 72.242 55.368 
5.00000 73.200 56.021 
5.10000 74.155 56.673 
5.20000 75.108 57.323 
5.30000 76.058 57.971 
5.40000 77.005 58.617 
5.50000 77.950 59.262 
5.60000 78.892 59.906 
5.70000 79.832 60.548 
5.80000 80.769 61.189 
5.90000 81.704 61.828 
6.00000 82.637 62.465 
6.10000 83.567 63.102 
6.20000 84.495 63.737 
6.30000 85.421 64.370 
6.40000 86.345 65.002 
6.50000 87.266 65.633 
6.60000 88.186 66.263 
6.70000 89.103 66.891 
6.80000 90.019 67.518 
6.90000 90.932 68.144 
7.00000 91.844 68.768 
7.10000 92.753 69.392 
7.20000 93.661 70.014 
7.30000 94.566 70.635 
7.40000 95.470 71.254 
7.50000 96.372 71.873 
7.60000 97.272 72.490 
7.70000 98.170 73.107 
7.80000 99.067 73.722 
7.90000 99.962 74.336 
8.00000 100.855 74.949 
8.10000 101.747 75.561 
8.20000 102.636 76.172 
8.30000 103.525 76.782 
8.40000 104.411 77.390 
8.50000 105.296 77.998 
8.60000 106.179 78.605 
8.70000 107.061 79.211 
8.80000 107.941 79.816 
8.90000 108.820 80.419 
9.00000 109.697 81.022 
9.10000 110.573 81.624 
9.20000 111.447 82.225 
9.30000 112.320 82.825 
9.40000 113.191 83.424 
9.50000 114.061 84.022 
9.60000 114.930 84.620 
9.70000 115.797 85.216 
9.80000 116.663 85.812 
9.90000 117.527 86.406 
10.00000 118.390 87.000 
