# t[days] FUV NUV
0.50000 31.330 27.122 
0.60000 31.649 27.223 
0.70000 32.052 27.402 
0.80000 32.477 27.611 
0.90000 32.894 27.823 
1.00000 33.302 28.039 
1.10000 33.710 28.261 
1.20000 34.123 28.491 
1.30000 34.544 28.733 
1.40000 34.975 28.985 
1.50000 35.415 29.247 
1.60000 35.864 29.517 
1.70000 36.321 29.797 
1.80000 36.786 30.084 
1.90000 37.255 30.376 
2.00000 37.728 30.672 
2.10000 38.200 30.971 
2.20000 38.672 31.270 
2.30000 39.142 31.569 
2.40000 39.608 31.867 
2.50000 40.070 32.164 
2.60000 40.530 32.460 
2.70000 40.987 32.755 
2.80000 41.442 33.049 
2.90000 41.894 33.343 
3.00000 42.345 33.636 
3.10000 42.793 33.929 
3.20000 43.240 34.221 
3.30000 43.687 34.514 
3.40000 44.134 34.807 
3.50000 44.581 35.102 
3.60000 45.029 35.398 
3.70000 45.480 35.695 
3.80000 45.932 35.995 
3.90000 46.386 36.296 
4.00000 46.844 36.600 
4.10000 47.304 36.907 
4.20000 47.766 37.215 
4.30000 48.231 37.526 
4.40000 48.699 37.839 
4.50000 49.169 38.154 
4.60000 49.642 38.471 
4.70000 50.116 38.789 
4.80000 50.593 39.110 
4.90000 51.072 39.432 
5.00000 51.553 39.756 
5.10000 52.036 40.082 
5.20000 52.521 40.410 
5.30000 53.008 40.739 
5.40000 53.496 41.069 
5.50000 53.986 41.401 
5.60000 54.478 41.734 
5.70000 54.971 42.068 
5.80000 55.465 42.403 
5.90000 55.960 42.739 
6.00000 56.456 43.076 
6.10000 56.954 43.414 
6.20000 57.452 43.753 
6.30000 57.950 44.092 
6.40000 58.450 44.432 
6.50000 58.950 44.773 
6.60000 59.451 45.114 
6.70000 59.953 45.456 
6.80000 60.454 45.798 
6.90000 60.956 46.141 
7.00000 61.458 46.483 
7.10000 61.960 46.826 
7.20000 62.476 47.178 
7.30000 63.039 47.562 
7.40000 63.606 47.949 
7.50000 64.178 48.339 
7.60000 64.750 48.730 
7.70000 65.323 49.121 
7.80000 65.896 49.512 
7.90000 66.470 49.903 
8.00000 67.043 50.295 
8.10000 67.616 50.687 
8.20000 68.189 51.079 
8.30000 68.763 51.471 
8.40000 69.336 51.863 
8.50000 69.909 52.255 
8.60000 70.481 52.646 
8.70000 71.053 53.038 
8.80000 71.624 53.429 
8.90000 72.195 53.820 
9.00000 72.765 54.210 
9.10000 73.335 54.600 
9.20000 73.903 54.990 
9.30000 74.501 55.399 
9.40000 75.129 55.829 
9.50000 75.757 56.258 
9.60000 76.385 56.689 
9.70000 77.014 57.119 
9.80000 77.643 57.550 
9.90000 78.272 57.981 
10.00000 78.902 58.413 
