# t[days] FUV NUV
0.50000 47.368 39.330 
0.60000 47.959 39.621 
0.70000 48.711 40.043 
0.80000 49.511 40.512 
0.90000 50.284 40.973 
1.00000 50.995 41.400 
1.10000 51.632 41.781 
1.20000 52.201 42.121 
1.30000 52.706 42.421 
1.40000 53.158 42.688 
1.50000 53.560 42.924 
1.60000 53.916 43.131 
1.70000 54.232 43.313 
1.80000 54.513 43.473 
1.90000 54.775 43.621 
2.00000 55.031 43.768 
2.10000 55.294 43.921 
2.20000 55.573 44.087 
2.30000 55.875 44.270 
2.40000 56.204 44.473 
2.50000 56.562 44.698 
2.60000 56.943 44.940 
2.70000 57.340 45.195 
2.80000 57.750 45.459 
2.90000 58.168 45.729 
3.00000 58.589 46.003 
3.10000 59.012 46.279 
3.20000 59.434 46.554 
3.30000 59.852 46.828 
3.40000 60.265 47.099 
3.50000 60.672 47.366 
3.60000 61.071 47.628 
3.70000 61.462 47.886 
3.80000 61.844 48.137 
3.90000 62.217 48.383 
4.00000 62.581 48.622 
4.10000 62.934 48.855 
4.20000 63.277 49.081 
4.30000 63.609 49.300 
4.40000 63.930 49.512 
4.50000 64.241 49.717 
4.60000 64.540 49.914 
4.70000 64.831 50.106 
4.80000 65.114 50.292 
4.90000 65.391 50.475 
5.00000 65.664 50.655 
5.10000 65.935 50.834 
5.20000 66.204 51.012 
5.30000 66.473 51.190 
5.40000 66.743 51.369 
5.50000 67.014 51.549 
5.60000 67.288 51.732 
5.70000 67.566 51.917 
5.80000 67.848 52.105 
5.90000 68.135 52.297 
6.00000 68.428 52.493 
6.10000 68.727 52.694 
6.20000 69.032 52.899 
6.30000 69.343 53.108 
6.40000 69.660 53.322 
6.50000 69.983 53.540 
6.60000 70.310 53.761 
6.70000 70.643 53.986 
6.80000 70.980 54.214 
6.90000 71.322 54.446 
7.00000 71.667 54.680 
7.10000 72.018 54.918 
7.20000 72.371 55.158 
7.30000 72.729 55.401 
7.40000 73.090 55.647 
7.50000 73.455 55.895 
7.60000 73.822 56.145 
7.70000 74.193 56.398 
7.80000 74.567 56.653 
7.90000 74.944 56.910 
8.00000 75.323 57.169 
8.10000 75.705 57.430 
8.20000 76.090 57.692 
8.30000 76.477 57.957 
8.40000 76.866 58.223 
8.50000 77.258 58.491 
8.60000 77.651 58.760 
8.70000 78.047 59.031 
8.80000 78.445 59.303 
8.90000 78.845 59.577 
9.00000 79.246 59.852 
9.10000 79.650 60.129 
9.20000 80.054 60.406 
9.30000 80.462 60.685 
9.40000 80.869 60.965 
9.50000 81.280 61.246 
9.60000 81.690 61.528 
9.70000 82.103 61.812 
9.80000 82.517 62.096 
9.90000 82.933 62.381 
10.00000 83.349 62.667 
