# t[days] FUV NUV
0.50000 35.012 30.849 
0.60000 35.305 30.941 
0.70000 35.673 31.106 
0.80000 36.082 31.313 
0.90000 36.515 31.549 
1.00000 36.964 31.804 
1.10000 37.424 32.074 
1.20000 37.892 32.355 
1.30000 38.363 32.644 
1.40000 38.830 32.933 
1.50000 39.287 33.219 
1.60000 39.730 33.498 
1.70000 40.158 33.769 
1.80000 40.573 34.033 
1.90000 40.983 34.295 
2.00000 41.391 34.558 
2.10000 41.801 34.824 
2.20000 42.217 35.094 
2.30000 42.640 35.371 
2.40000 43.070 35.655 
2.50000 43.509 35.944 
2.60000 43.954 36.240 
2.70000 44.405 36.540 
2.80000 44.863 36.845 
2.90000 45.326 37.154 
3.00000 45.794 37.468 
3.10000 46.267 37.786 
3.20000 46.745 38.108 
3.30000 47.227 38.432 
3.40000 47.713 38.760 
3.50000 48.202 39.091 
3.60000 48.694 39.423 
3.70000 49.188 39.759 
3.80000 49.686 40.096 
3.90000 50.185 40.434 
4.00000 50.686 40.775 
4.10000 51.189 41.117 
4.20000 51.694 41.460 
4.30000 52.199 41.804 
4.40000 52.705 42.149 
4.50000 53.211 42.493 
4.60000 53.787 42.885 
4.70000 54.497 43.365 
4.80000 55.210 43.846 
4.90000 55.925 44.330 
5.00000 56.643 44.816 
5.10000 57.363 45.304 
5.20000 58.084 45.793 
5.30000 58.808 46.284 
5.40000 59.532 46.775 
5.50000 60.258 47.268 
5.60000 60.984 47.761 
5.70000 61.711 48.255 
5.80000 62.439 48.750 
5.90000 63.167 49.245 
6.00000 63.894 49.740 
6.10000 64.622 50.236 
6.20000 65.349 50.731 
6.30000 66.076 51.226 
6.40000 66.803 51.721 
6.50000 67.528 52.215 
6.60000 68.253 52.709 
6.70000 68.976 53.203 
6.80000 69.699 53.695 
6.90000 70.420 54.188 
7.00000 71.140 54.679 
7.10000 71.859 55.169 
7.20000 72.576 55.659 
7.30000 73.292 56.148 
7.40000 74.007 56.637 
7.50000 74.720 57.124 
7.60000 75.432 57.610 
7.70000 76.143 58.096 
7.80000 76.852 58.581 
7.90000 77.559 59.064 
8.00000 78.265 59.547 
8.10000 78.969 60.029 
8.20000 79.672 60.510 
8.30000 80.374 60.990 
8.40000 81.073 61.468 
8.50000 81.771 61.946 
8.60000 82.468 62.423 
8.70000 83.163 62.899 
8.80000 83.856 63.373 
8.90000 84.547 63.847 
9.00000 85.237 64.319 
9.10000 85.925 64.791 
9.20000 86.611 65.261 
9.30000 87.296 65.730 
9.40000 87.979 66.198 
9.50000 88.660 66.665 
9.60000 89.339 67.130 
9.70000 90.017 67.595 
9.80000 90.693 68.058 
9.90000 91.367 68.520 
10.00000 92.039 68.981 
