# t[days] FUV NUV
0.50000 43.192 36.453 
0.60000 42.809 36.066 
0.70000 42.409 35.686 
0.80000 42.078 35.368 
0.90000 41.864 35.142 
1.00000 41.773 35.010 
1.10000 41.790 34.960 
1.20000 41.901 34.980 
1.30000 42.086 35.057 
1.40000 42.335 35.182 
1.50000 42.636 35.347 
1.60000 42.985 35.549 
1.70000 43.373 35.779 
1.80000 43.787 36.031 
1.90000 44.211 36.292 
2.00000 44.631 36.551 
2.10000 45.038 36.804 
2.20000 45.424 37.043 
2.30000 45.784 37.266 
2.40000 46.121 37.475 
2.50000 46.448 37.676 
2.60000 46.770 37.876 
2.70000 47.096 38.080 
2.80000 47.430 38.290 
2.90000 47.778 38.511 
3.00000 48.143 38.745 
3.10000 48.529 38.993 
3.20000 48.935 39.257 
3.30000 49.359 39.534 
3.40000 49.800 39.823 
3.50000 50.256 40.124 
3.60000 50.669 40.397 
3.70000 50.857 40.524 
3.80000 51.067 40.665 
3.90000 51.295 40.819 
4.00000 51.540 40.985 
4.10000 51.800 41.161 
4.20000 52.074 41.347 
4.30000 52.360 41.541 
4.40000 52.657 41.744 
4.50000 52.966 41.954 
4.60000 53.284 42.171 
4.70000 53.612 42.394 
4.80000 53.949 42.624 
4.90000 54.294 42.859 
5.00000 54.646 43.100 
5.10000 55.006 43.345 
5.20000 55.372 43.596 
5.30000 55.745 43.851 
5.40000 56.124 44.110 
5.50000 56.509 44.374 
5.60000 56.899 44.641 
5.70000 57.294 44.911 
5.80000 57.693 45.184 
5.90000 58.095 45.461 
6.00000 58.502 45.739 
6.10000 58.911 46.020 
6.20000 59.323 46.302 
6.30000 59.738 46.587 
6.40000 60.155 46.873 
6.50000 60.573 47.160 
6.60000 60.994 47.449 
6.70000 61.477 47.780 
6.80000 62.107 48.208 
6.90000 62.738 48.638 
7.00000 63.373 49.069 
7.10000 64.009 49.502 
7.20000 64.647 49.937 
7.30000 65.287 50.373 
7.40000 65.928 50.810 
7.50000 66.571 51.248 
7.60000 67.215 51.688 
7.70000 67.860 52.128 
7.80000 68.506 52.569 
7.90000 69.153 53.011 
8.00000 69.801 53.453 
8.10000 70.450 53.896 
8.20000 71.098 54.339 
8.30000 71.748 54.783 
8.40000 72.397 55.226 
8.50000 73.046 55.670 
8.60000 73.696 56.115 
8.70000 74.345 56.559 
8.80000 74.994 57.003 
8.90000 75.643 57.447 
9.00000 76.292 57.890 
9.10000 76.939 58.334 
9.20000 77.587 58.777 
9.30000 78.233 59.219 
9.40000 78.879 59.661 
9.50000 79.524 60.103 
9.60000 80.167 60.544 
9.70000 80.810 60.984 
9.80000 81.452 61.424 
9.90000 82.092 61.862 
10.00000 82.731 62.300 
