# t[days] FUV NUV
0.50000 32.896 29.409 
0.60000 33.275 29.555 
0.70000 33.747 29.784 
0.80000 34.036 29.901 
0.90000 34.223 29.957 
1.00000 34.464 30.060 
1.10000 34.849 30.270 
1.20000 35.383 30.589 
1.30000 36.026 30.988 
1.40000 36.747 31.447 
1.50000 35.662 30.800 
1.60000 35.258 30.578 
1.70000 35.230 30.587 
1.80000 35.377 30.705 
1.90000 35.628 30.888 
2.00000 35.948 31.113 
2.10000 36.316 31.370 
2.20000 36.719 31.648 
2.30000 37.146 31.942 
2.40000 37.640 32.277 
2.50000 38.393 32.774 
2.60000 39.153 33.277 
2.70000 39.918 33.784 
2.80000 40.684 34.293 
2.90000 41.452 34.804 
3.00000 42.219 35.316 
3.10000 42.986 35.827 
3.20000 43.749 36.337 
3.30000 44.510 36.846 
3.40000 45.267 37.353 
3.50000 46.019 37.857 
3.60000 46.768 38.359 
3.70000 47.512 38.859 
3.80000 48.251 39.355 
3.90000 48.986 39.850 
4.00000 49.717 40.341 
4.10000 50.443 40.830 
4.20000 51.165 41.316 
4.30000 51.882 41.799 
4.40000 52.595 42.280 
4.50000 53.304 42.759 
4.60000 54.010 43.235 
4.70000 54.712 43.709 
4.80000 55.410 44.181 
4.90000 56.105 44.651 
5.00000 56.797 45.119 
5.10000 57.485 45.584 
5.20000 58.171 46.049 
5.30000 58.853 46.511 
5.40000 59.533 46.971 
5.50000 60.210 47.430 
5.60000 60.885 47.888 
5.70000 61.557 48.344 
5.80000 62.227 48.798 
5.90000 62.894 49.251 
6.00000 63.560 49.703 
6.10000 64.223 50.153 
6.20000 64.884 50.603 
6.30000 65.543 51.050 
6.40000 66.200 51.497 
6.50000 66.856 51.943 
6.60000 67.509 52.387 
6.70000 68.160 52.831 
6.80000 68.810 53.273 
6.90000 69.458 53.714 
7.00000 70.105 54.154 
7.10000 70.750 54.594 
7.20000 71.393 55.032 
7.30000 72.035 55.469 
7.40000 72.675 55.906 
7.50000 73.314 56.341 
7.60000 73.952 56.776 
7.70000 74.588 57.210 
7.80000 75.222 57.643 
7.90000 75.856 58.075 
8.00000 76.488 58.506 
8.10000 77.118 58.937 
8.20000 77.747 59.366 
8.30000 78.376 59.795 
8.40000 79.002 60.223 
8.50000 79.628 60.651 
8.60000 80.253 61.077 
8.70000 80.876 61.503 
8.80000 81.498 61.929 
8.90000 82.119 62.353 
9.00000 82.739 62.777 
9.10000 83.358 63.200 
9.20000 83.975 63.623 
9.30000 84.592 64.045 
9.40000 85.208 64.466 
9.50000 85.823 64.886 
9.60000 86.436 65.306 
9.70000 87.049 65.726 
9.80000 87.661 66.145 
9.90000 88.272 66.563 
10.00000 88.881 66.980 
