# t[days] FUV NUV
0.50000 36.918 32.067 
0.60000 37.513 32.366 
0.70000 38.110 32.685 
0.80000 38.707 33.019 
0.90000 39.297 33.358 
1.00000 39.870 33.694 
1.10000 40.420 34.022 
1.20000 40.946 34.339 
1.30000 41.453 34.647 
1.40000 41.944 34.949 
1.50000 42.423 35.245 
1.60000 42.892 35.538 
1.70000 43.353 35.828 
1.80000 43.808 36.117 
1.90000 44.260 36.405 
2.00000 44.709 36.693 
2.10000 45.156 36.981 
2.20000 45.602 37.271 
2.30000 46.048 37.561 
2.40000 46.492 37.851 
2.50000 46.933 38.140 
2.60000 47.369 38.427 
2.70000 47.799 38.710 
2.80000 48.222 38.990 
2.90000 48.638 39.265 
3.00000 49.046 39.535 
3.10000 49.446 39.800 
3.20000 49.848 40.067 
3.30000 50.299 40.366 
3.40000 50.765 40.676 
3.50000 51.226 40.982 
3.60000 51.683 41.287 
3.70000 52.136 41.589 
3.80000 52.586 41.889 
3.90000 53.034 42.188 
4.00000 53.479 42.486 
4.10000 53.924 42.784 
4.20000 54.368 43.082 
4.30000 54.810 43.379 
4.40000 55.252 43.676 
4.50000 55.694 43.974 
4.60000 56.135 44.271 
4.70000 56.575 44.568 
4.80000 57.016 44.866 
4.90000 57.457 45.164 
5.00000 57.897 45.461 
5.10000 58.337 45.759 
5.20000 58.779 46.058 
5.30000 59.219 46.357 
5.40000 59.660 46.656 
5.50000 60.102 46.956 
5.60000 60.544 47.256 
5.70000 60.986 47.557 
5.80000 61.429 47.857 
5.90000 61.872 48.159 
6.00000 62.315 48.461 
6.10000 62.758 48.762 
6.20000 63.202 49.065 
6.30000 63.645 49.367 
6.40000 64.090 49.671 
6.50000 64.534 49.973 
6.60000 64.978 50.277 
6.70000 65.422 50.580 
6.80000 65.867 50.884 
6.90000 66.311 51.188 
7.00000 66.756 51.492 
7.10000 67.201 51.796 
7.20000 67.646 52.100 
7.30000 68.091 52.405 
7.40000 68.535 52.709 
7.50000 68.980 53.014 
7.60000 69.425 53.318 
7.70000 69.869 53.623 
7.80000 70.313 53.927 
7.90000 70.757 54.231 
8.00000 71.200 54.535 
8.10000 71.643 54.839 
8.20000 72.086 55.143 
8.30000 72.528 55.446 
8.40000 72.969 55.749 
8.50000 73.410 56.051 
8.60000 73.850 56.353 
8.70000 74.290 56.655 
8.80000 74.817 57.016 
8.90000 75.416 57.425 
9.00000 76.015 57.835 
9.10000 76.615 58.245 
9.20000 77.216 58.656 
9.30000 77.818 59.067 
9.40000 78.421 59.479 
9.50000 79.024 59.892 
9.60000 79.628 60.305 
9.70000 80.232 60.719 
9.80000 80.837 61.132 
9.90000 81.442 61.547 
10.00000 82.048 61.962 
