# t[days] FUV NUV
0.50000 27.913 25.839 
0.60000 28.323 26.026 
0.70000 28.736 26.234 
0.80000 29.158 26.463 
0.90000 29.596 26.713 
1.00000 30.056 26.986 
1.10000 30.541 27.283 
1.20000 31.047 27.599 
1.30000 31.566 27.929 
1.40000 32.095 28.268 
1.50000 32.630 28.615 
1.60000 33.167 28.965 
1.70000 33.704 29.317 
1.80000 34.239 29.669 
1.90000 34.837 30.060 
2.00000 35.525 30.508 
2.10000 36.214 30.958 
2.20000 36.920 31.419 
2.30000 37.622 31.879 
2.40000 38.318 32.337 
2.50000 39.009 32.792 
2.60000 39.694 33.243 
2.70000 40.373 33.691 
2.80000 41.044 34.134 
2.90000 41.699 34.569 
3.00000 42.349 34.999 
3.10000 42.993 35.427 
3.20000 43.631 35.851 
3.30000 44.266 36.274 
3.40000 44.896 36.693 
3.50000 45.517 37.107 
3.60000 46.135 37.520 
3.70000 46.750 37.932 
3.80000 47.364 38.343 
3.90000 47.977 38.753 
4.00000 48.581 39.158 
4.10000 49.184 39.562 
4.20000 49.785 39.967 
4.30000 50.386 40.370 
4.40000 50.986 40.774 
4.50000 51.579 41.174 
4.60000 52.172 41.573 
4.70000 52.764 41.972 
4.80000 53.355 42.371 
4.90000 53.945 42.769 
5.00000 54.530 43.165 
5.10000 55.114 43.560 
5.20000 55.699 43.955 
5.30000 56.283 44.351 
5.40000 56.863 44.744 
5.50000 57.441 45.136 
5.60000 58.019 45.528 
5.70000 58.597 45.920 
5.80000 59.173 46.311 
5.90000 59.744 46.699 
6.00000 60.316 47.087 
6.10000 60.887 47.475 
6.20000 61.457 47.863 
6.30000 62.021 48.246 
6.40000 62.584 48.630 
6.50000 63.147 49.013 
6.60000 63.710 49.396 
6.70000 64.267 49.776 
6.80000 64.822 50.154 
6.90000 65.377 50.533 
7.00000 65.931 50.910 
7.10000 66.481 51.286 
7.20000 67.028 51.659 
7.30000 67.573 52.031 
7.40000 68.118 52.403 
7.50000 68.677 52.784 
7.60000 69.295 53.205 
7.70000 69.912 53.626 
7.80000 70.529 54.047 
7.90000 71.146 54.467 
8.00000 71.762 54.888 
8.10000 72.377 55.308 
8.20000 72.992 55.727 
8.30000 73.607 56.147 
8.40000 74.220 56.566 
8.50000 74.833 56.984 
8.60000 75.446 57.403 
8.70000 76.057 57.820 
8.80000 76.668 58.238 
8.90000 77.278 58.655 
9.00000 77.888 59.071 
9.10000 78.496 59.487 
9.20000 79.104 59.903 
9.30000 79.710 60.317 
9.40000 80.316 60.732 
9.50000 80.920 61.145 
9.60000 81.524 61.558 
9.70000 82.127 61.971 
9.80000 82.729 62.383 
9.90000 83.329 62.794 
10.00000 83.929 63.204 
