# t[days] FUV NUV
0.50000 27.072 24.618 
0.60000 27.418 24.746 
0.70000 27.844 24.948 
0.80000 28.299 25.186 
0.90000 28.757 25.436 
1.00000 29.210 25.691 
1.10000 29.656 25.949 
1.20000 30.096 26.209 
1.30000 30.543 26.478 
1.40000 31.005 26.762 
1.50000 31.488 27.064 
1.60000 31.993 27.384 
1.70000 32.516 27.719 
1.80000 33.053 28.066 
1.90000 33.602 28.424 
2.00000 34.161 28.790 
2.10000 34.625 29.100 
2.20000 35.002 29.356 
2.30000 35.399 29.626 
2.40000 35.944 29.990 
2.50000 36.673 30.470 
2.60000 37.412 30.958 
2.70000 38.162 31.455 
2.80000 38.920 31.958 
2.90000 39.685 32.467 
3.00000 40.456 32.981 
3.10000 41.232 33.499 
3.20000 42.011 34.020 
3.30000 42.793 34.544 
3.40000 43.577 35.070 
3.50000 44.363 35.597 
3.60000 45.149 36.125 
3.70000 45.935 36.654 
3.80000 46.721 37.183 
3.90000 47.507 37.712 
4.00000 48.291 38.241 
4.10000 49.074 38.770 
4.20000 49.855 39.297 
4.30000 50.633 39.823 
4.40000 51.410 40.348 
4.50000 52.184 40.871 
4.60000 52.955 41.394 
4.70000 53.725 41.915 
4.80000 54.491 42.434 
4.90000 55.255 42.952 
5.00000 56.016 43.468 
5.10000 56.775 43.982 
5.20000 57.530 44.495 
5.30000 58.283 45.006 
5.40000 59.033 45.516 
5.50000 59.781 46.024 
5.60000 60.525 46.530 
5.70000 61.267 47.034 
5.80000 62.006 47.537 
5.90000 62.743 48.038 
6.00000 63.477 48.538 
6.10000 64.209 49.036 
6.20000 64.938 49.532 
6.30000 65.665 50.027 
6.40000 66.389 50.521 
6.50000 67.111 51.013 
6.60000 67.831 51.503 
6.70000 68.549 51.993 
6.80000 69.264 52.481 
6.90000 69.977 52.967 
7.00000 70.689 53.452 
7.10000 71.398 53.936 
7.20000 72.105 54.419 
7.30000 72.810 54.901 
7.40000 73.514 55.381 
7.50000 74.215 55.860 
7.60000 74.915 56.338 
7.70000 75.612 56.815 
7.80000 76.308 57.290 
7.90000 77.003 57.765 
8.00000 77.695 58.238 
8.10000 78.386 58.711 
8.20000 79.076 59.182 
8.30000 79.763 59.653 
8.40000 80.450 60.122 
8.50000 81.134 60.591 
8.60000 81.817 61.058 
8.70000 82.499 61.525 
8.80000 83.179 61.990 
8.90000 83.858 62.455 
9.00000 84.535 62.919 
9.10000 85.212 63.382 
9.20000 85.886 63.844 
9.30000 86.560 64.305 
9.40000 87.232 64.766 
9.50000 87.903 65.226 
9.60000 88.572 65.685 
9.70000 89.241 66.143 
9.80000 89.908 66.600 
9.90000 90.574 67.057 
10.00000 91.239 67.513 
