# t[days] FUV NUV
0.50000 31.195 27.938 
0.60000 32.079 28.467 
0.70000 32.978 29.025 
0.80000 33.948 29.637 
0.90000 35.064 30.350 
1.00000 36.200 31.084 
1.10000 37.350 31.836 
1.20000 38.506 32.597 
1.30000 39.663 33.363 
1.40000 40.816 34.131 
1.50000 41.961 34.896 
1.60000 43.291 35.782 
1.70000 44.696 36.720 
1.80000 46.111 37.667 
1.90000 47.532 38.619 
2.00000 48.956 39.576 
2.10000 50.380 40.534 
2.20000 51.802 41.493 
2.30000 53.221 42.450 
2.40000 54.635 43.406 
2.50000 56.044 44.359 
2.60000 57.447 45.309 
2.70000 58.842 46.255 
2.80000 60.230 47.196 
2.90000 61.610 48.133 
3.00000 62.983 49.066 
3.10000 64.348 49.994 
3.20000 65.705 50.917 
3.30000 67.055 51.836 
3.40000 68.398 52.750 
3.50000 69.734 53.660 
3.60000 71.062 54.565 
3.70000 72.383 55.466 
3.80000 73.698 56.363 
3.90000 75.006 57.256 
4.00000 76.308 58.145 
4.10000 77.604 59.031 
4.20000 78.894 59.912 
4.30000 80.179 60.790 
4.40000 81.458 61.665 
4.50000 82.732 62.536 
4.60000 84.000 63.404 
4.70000 85.264 64.269 
4.80000 86.522 65.130 
4.90000 87.776 65.989 
5.00000 89.026 66.845 
5.10000 90.271 67.698 
5.20000 91.511 68.548 
5.30000 92.748 69.396 
5.40000 93.980 70.241 
5.50000 95.209 71.083 
5.60000 96.433 71.923 
5.70000 97.654 72.760 
5.80000 98.871 73.596 
5.90000 100.084 74.428 
6.00000 101.294 75.259 
6.10000 102.501 76.087 
6.20000 103.704 76.914 
6.30000 104.904 77.738 
6.40000 106.100 78.560 
6.50000 107.294 79.380 
6.60000 108.484 80.198 
6.70000 109.672 81.014 
6.80000 110.856 81.828 
6.90000 112.037 82.640 
7.00000 113.216 83.450 
7.10000 114.392 84.259 
7.20000 115.565 85.066 
7.30000 116.735 85.871 
7.40000 117.903 86.674 
7.50000 119.068 87.476 
7.60000 120.230 88.276 
7.70000 121.390 89.074 
7.80000 122.548 89.871 
7.90000 123.703 90.666 
8.00000 124.856 91.459 
8.10000 126.006 92.251 
8.20000 127.154 93.042 
8.30000 128.299 93.831 
8.40000 129.443 94.618 
8.50000 130.584 95.404 
8.60000 131.723 96.189 
8.70000 132.860 96.972 
8.80000 133.994 97.754 
8.90000 135.127 98.534 
9.00000 136.257 99.313 
9.10000 137.386 100.091 
9.20000 138.512 100.867 
9.30000 139.636 101.642 
9.40000 140.759 102.416 
9.50000 141.879 103.188 
9.60000 142.998 103.960 
9.70000 144.114 104.730 
9.80000 145.229 105.498 
9.90000 146.342 106.266 
10.00000 147.453 107.032 
