# t[days] FUV NUV
0.50000 46.508 38.668 
0.60000 46.874 38.802 
0.70000 47.408 39.072 
0.80000 47.995 39.392 
0.90000 48.564 39.710 
1.00000 49.097 40.012 
1.10000 49.587 40.290 
1.20000 50.033 40.544 
1.30000 50.437 40.773 
1.40000 50.808 40.983 
1.50000 51.144 41.172 
1.60000 51.451 41.344 
1.70000 51.732 41.500 
1.80000 52.000 41.650 
1.90000 52.273 41.805 
2.00000 52.561 41.972 
2.10000 52.873 42.158 
2.20000 53.215 42.367 
2.30000 53.593 42.602 
2.40000 54.007 42.863 
2.50000 54.449 43.145 
2.60000 54.911 43.442 
2.70000 55.386 43.749 
2.80000 55.867 44.061 
2.90000 56.351 44.376 
3.00000 56.833 44.691 
3.10000 57.309 45.002 
3.20000 57.777 45.308 
3.30000 58.236 45.609 
3.40000 58.686 45.904 
3.50000 59.125 46.192 
3.60000 59.554 46.474 
3.70000 59.974 46.749 
3.80000 60.384 47.019 
3.90000 60.783 47.281 
4.00000 61.172 47.537 
4.10000 61.551 47.786 
4.20000 61.920 48.029 
4.30000 62.280 48.266 
4.40000 62.632 48.498 
4.50000 62.979 48.726 
4.60000 63.322 48.952 
4.70000 63.663 49.178 
4.80000 64.004 49.403 
4.90000 64.346 49.629 
5.00000 64.690 49.857 
5.10000 65.036 50.088 
5.20000 65.387 50.321 
5.30000 65.743 50.559 
5.40000 66.105 50.801 
5.50000 66.474 51.047 
5.60000 66.851 51.300 
5.70000 67.234 51.557 
5.80000 67.624 51.819 
5.90000 68.021 52.086 
6.00000 68.424 52.358 
6.10000 68.833 52.633 
6.20000 69.247 52.913 
6.30000 69.666 53.196 
6.40000 70.090 53.483 
6.50000 70.519 53.774 
6.60000 70.952 54.067 
6.70000 71.389 54.364 
6.80000 71.830 54.664 
6.90000 72.275 54.966 
7.00000 72.724 55.271 
7.10000 73.176 55.579 
7.20000 73.632 55.889 
7.30000 74.090 56.201 
7.40000 74.551 56.515 
7.50000 75.015 56.831 
7.60000 75.482 57.150 
7.70000 75.952 57.470 
7.80000 76.424 57.793 
7.90000 76.899 58.117 
8.00000 77.376 58.443 
8.10000 77.855 58.771 
8.20000 78.337 59.100 
8.30000 78.821 59.431 
8.40000 79.307 59.764 
8.50000 79.795 60.098 
8.60000 80.286 60.434 
8.70000 80.778 60.771 
8.80000 81.272 61.110 
8.90000 81.758 61.443 
9.00000 81.864 61.519 
9.10000 81.036 60.965 
9.20000 80.393 60.536 
9.30000 79.888 60.200 
9.40000 79.492 59.937 
9.50000 79.181 59.733 
9.60000 78.942 59.576 
9.70000 78.761 59.459 
9.80000 78.629 59.376 
9.90000 78.691 59.423 
10.00000 79.257 59.810 
