# t[days] FUV NUV
0.50000 33.476 29.341 
0.60000 34.024 29.626 
0.70000 34.570 29.931 
0.80000 35.068 30.215 
0.90000 35.520 30.478 
1.00000 35.940 30.726 
1.10000 36.370 30.986 
1.20000 36.841 31.280 
1.30000 37.370 31.618 
1.40000 37.952 31.996 
1.50000 38.578 32.406 
1.60000 39.239 32.843 
1.70000 39.634 33.116 
1.80000 39.715 33.192 
1.90000 39.958 33.371 
2.00000 40.303 33.615 
2.10000 40.717 33.905 
2.20000 41.180 34.227 
2.30000 41.681 34.572 
2.40000 42.521 35.135 
2.50000 43.493 35.785 
2.60000 44.475 36.442 
2.70000 45.465 37.105 
2.80000 46.459 37.773 
2.90000 47.456 38.443 
3.00000 48.454 39.115 
3.10000 49.453 39.789 
3.20000 50.451 40.462 
3.30000 51.447 41.135 
3.40000 52.441 41.806 
3.50000 53.431 42.476 
3.60000 54.416 43.143 
3.70000 55.397 43.807 
3.80000 56.373 44.468 
3.90000 57.344 45.127 
4.00000 58.311 45.782 
4.10000 59.272 46.434 
4.20000 60.228 47.083 
4.30000 61.179 47.729 
4.40000 62.124 48.372 
4.50000 63.065 49.012 
4.60000 64.001 49.648 
4.70000 64.931 50.281 
4.80000 65.857 50.912 
4.90000 66.779 51.539 
5.00000 67.696 52.164 
5.10000 68.609 52.786 
5.20000 69.518 53.405 
5.30000 70.423 54.022 
5.40000 71.324 54.636 
5.50000 72.221 55.248 
5.60000 73.114 55.858 
5.70000 74.004 56.465 
5.80000 74.891 57.071 
5.90000 75.774 57.674 
6.00000 76.655 58.275 
6.10000 77.532 58.874 
6.20000 78.406 59.472 
6.30000 79.277 60.067 
6.40000 80.145 60.661 
6.50000 81.011 61.253 
6.60000 81.874 61.843 
6.70000 82.735 62.432 
6.80000 83.593 63.019 
6.90000 84.448 63.604 
7.00000 85.302 64.189 
7.10000 86.153 64.771 
7.20000 87.001 65.352 
7.30000 87.848 65.932 
7.40000 88.692 66.510 
7.50000 89.534 67.087 
7.60000 90.374 67.663 
7.70000 91.212 68.237 
7.80000 92.048 68.810 
7.90000 92.882 69.382 
8.00000 93.714 69.953 
8.10000 94.545 70.522 
8.20000 95.373 71.090 
8.30000 96.200 71.657 
8.40000 97.025 72.223 
8.50000 97.848 72.788 
8.60000 98.670 73.352 
8.70000 99.490 73.915 
8.80000 100.308 74.477 
8.90000 101.125 75.037 
9.00000 101.940 75.597 
9.10000 102.754 76.156 
9.20000 103.566 76.713 
9.30000 104.377 77.270 
9.40000 105.186 77.826 
9.50000 105.994 78.381 
9.60000 106.800 78.935 
9.70000 107.606 79.489 
9.80000 108.409 80.041 
9.90000 109.212 80.593 
10.00000 110.013 81.144 
