# t[days] FUV NUV
0.50000 48.248 39.922 
0.60000 47.915 39.570 
0.70000 47.869 39.435 
0.80000 47.993 39.434 
0.90000 48.227 39.518 
1.00000 48.532 39.661 
1.10000 48.885 39.844 
1.20000 49.267 40.052 
1.30000 49.661 40.273 
1.40000 50.055 40.498 
1.50000 50.445 40.725 
1.60000 50.827 40.948 
1.70000 51.197 41.165 
1.80000 51.552 41.374 
1.90000 51.890 41.574 
2.00000 52.214 41.766 
2.10000 52.534 41.956 
2.20000 52.855 42.149 
2.30000 53.181 42.346 
2.40000 53.517 42.553 
2.50000 53.867 42.770 
2.60000 54.233 42.998 
2.70000 54.616 43.240 
2.80000 55.020 43.497 
2.90000 55.444 43.769 
3.00000 55.890 44.058 
3.10000 56.358 44.362 
3.20000 56.842 44.678 
3.30000 57.338 45.003 
3.40000 57.841 45.333 
3.50000 58.346 45.666 
3.60000 58.850 45.998 
3.70000 59.349 46.328 
3.80000 59.842 46.654 
3.90000 60.325 46.973 
4.00000 60.797 47.284 
4.10000 61.254 47.587 
4.20000 61.698 47.880 
4.30000 62.129 48.164 
4.40000 62.549 48.442 
4.50000 62.962 48.715 
4.60000 63.367 48.983 
4.70000 63.767 49.247 
4.80000 64.164 49.510 
4.90000 64.557 49.770 
5.00000 64.950 50.030 
5.10000 65.341 50.290 
5.20000 65.734 50.551 
5.30000 66.128 50.813 
5.40000 66.524 51.077 
5.50000 66.924 51.343 
5.60000 67.327 51.612 
5.70000 67.733 51.884 
5.80000 68.144 52.159 
5.90000 68.558 52.436 
6.00000 68.977 52.717 
6.10000 69.399 53.000 
6.20000 69.825 53.286 
6.30000 70.254 53.575 
6.40000 70.688 53.866 
6.50000 71.125 54.161 
6.60000 71.565 54.458 
6.70000 72.010 54.758 
6.80000 72.458 55.061 
6.90000 72.911 55.366 
7.00000 73.366 55.674 
7.10000 73.826 55.985 
7.20000 74.289 56.299 
7.30000 74.756 56.615 
7.40000 75.227 56.935 
7.50000 75.702 57.257 
7.60000 76.179 57.581 
7.70000 76.661 57.908 
7.80000 77.146 58.237 
7.90000 77.633 58.569 
8.00000 78.124 58.903 
8.10000 78.618 59.239 
8.20000 79.115 59.577 
8.30000 79.615 59.918 
8.40000 80.118 60.260 
8.50000 80.623 60.605 
8.60000 81.131 60.951 
8.70000 81.642 61.299 
8.80000 82.155 61.650 
8.90000 82.671 62.002 
9.00000 83.189 62.355 
9.10000 83.709 62.711 
9.20000 84.232 63.068 
9.30000 84.742 63.417 
9.40000 85.025 63.612 
9.50000 85.257 63.773 
9.60000 85.496 63.938 
9.70000 85.742 64.108 
9.80000 85.993 64.282 
9.90000 86.250 64.460 
10.00000 86.512 64.642 
