# t[days] FUV NUV
0.50000 32.110 28.599 
0.60000 33.091 29.168 
0.70000 34.141 29.804 
0.80000 35.239 30.488 
0.90000 36.357 31.197 
1.00000 37.479 31.917 
1.10000 38.687 32.697 
1.20000 39.899 33.484 
1.30000 41.088 34.259 
1.40000 42.242 35.013 
1.50000 43.353 35.741 
1.60000 44.415 36.439 
1.70000 45.431 37.106 
1.80000 46.394 37.740 
1.90000 47.308 38.341 
2.00000 48.177 38.913 
2.10000 48.999 39.454 
2.20000 49.785 39.971 
2.30000 50.531 40.462 
2.40000 51.243 40.931 
2.50000 51.922 41.378 
2.60000 52.574 41.807 
2.70000 53.199 42.218 
2.80000 53.803 42.616 
2.90000 54.385 42.999 
3.00000 54.951 43.373 
3.10000 55.499 43.734 
3.20000 56.035 44.088 
3.30000 56.558 44.433 
3.40000 57.070 44.771 
3.50000 57.572 45.103 
3.60000 58.064 45.429 
3.70000 58.548 45.750 
3.80000 59.025 46.066 
3.90000 59.494 46.377 
4.00000 59.959 46.686 
4.10000 60.416 46.990 
4.20000 60.870 47.292 
4.30000 61.318 47.591 
4.40000 61.762 47.887 
4.50000 62.203 48.180 
4.60000 62.638 48.471 
4.70000 63.069 48.759 
4.80000 63.496 49.044 
4.90000 63.918 49.326 
5.00000 64.335 49.606 
5.10000 64.749 49.882 
5.20000 65.157 50.156 
5.30000 65.561 50.427 
5.40000 65.960 50.695 
5.50000 66.355 50.960 
5.60000 66.746 51.222 
5.70000 67.131 51.481 
5.80000 67.513 51.738 
5.90000 67.891 51.992 
6.00000 68.264 52.243 
6.10000 68.634 52.492 
6.20000 69.000 52.738 
6.30000 69.363 52.983 
6.40000 69.723 53.225 
6.50000 70.079 53.465 
6.60000 70.433 53.704 
6.70000 70.784 53.940 
6.80000 71.132 54.175 
6.90000 71.478 54.409 
7.00000 71.821 54.640 
7.10000 72.162 54.871 
7.20000 72.500 55.100 
7.30000 72.837 55.327 
7.40000 73.172 55.554 
7.50000 73.504 55.779 
7.60000 73.836 56.003 
7.70000 74.165 56.226 
7.80000 74.493 56.448 
7.90000 74.819 56.669 
8.00000 75.144 56.889 
8.10000 75.467 57.109 
8.20000 75.789 57.327 
8.30000 76.110 57.545 
8.40000 76.429 57.762 
8.50000 76.748 57.978 
8.60000 77.066 58.194 
8.70000 77.382 58.409 
8.80000 77.698 58.623 
8.90000 78.013 58.838 
9.00000 78.327 59.051 
9.10000 78.640 59.264 
9.20000 78.952 59.477 
9.30000 79.264 59.689 
9.40000 79.576 59.901 
9.50000 79.886 60.113 
9.60000 80.197 60.324 
9.70000 80.506 60.535 
9.80000 80.816 60.746 
9.90000 81.124 60.957 
10.00000 81.433 61.167 
