# t[days] FUV NUV
0.50000 30.651 27.227 
0.60000 31.370 27.614 
0.70000 32.073 28.006 
0.80000 32.766 28.407 
0.90000 33.455 28.815 
1.00000 34.136 29.226 
1.10000 34.804 29.636 
1.20000 35.457 30.041 
1.30000 36.092 30.438 
1.40000 36.706 30.825 
1.50000 37.299 31.201 
1.60000 37.878 31.570 
1.70000 38.452 31.938 
1.80000 39.026 32.309 
1.90000 39.606 32.687 
2.00000 40.196 33.073 
2.10000 40.795 33.466 
2.20000 41.402 33.867 
2.30000 42.015 34.274 
2.40000 42.634 34.686 
2.50000 43.258 35.102 
2.60000 43.886 35.522 
2.70000 44.518 35.946 
2.80000 45.153 36.373 
2.90000 45.791 36.802 
3.00000 46.430 37.233 
3.10000 47.071 37.666 
3.20000 47.714 38.101 
3.30000 48.357 38.536 
3.40000 49.001 38.973 
3.50000 49.654 39.416 
3.60000 50.506 39.990 
3.70000 51.363 40.568 
3.80000 52.225 41.150 
3.90000 53.092 41.736 
4.00000 53.962 42.325 
4.10000 54.836 42.916 
4.20000 55.713 43.510 
4.30000 56.592 44.106 
4.40000 57.473 44.704 
4.50000 58.355 45.303 
4.60000 59.238 45.902 
4.70000 60.122 46.503 
4.80000 61.007 47.105 
4.90000 61.892 47.707 
5.00000 62.776 48.309 
5.10000 63.661 48.911 
5.20000 64.544 49.512 
5.30000 65.427 50.114 
5.40000 66.308 50.715 
5.50000 67.189 51.315 
5.60000 68.068 51.915 
5.70000 68.945 52.513 
5.80000 69.820 53.110 
5.90000 70.693 53.707 
6.00000 71.565 54.302 
6.10000 72.434 54.896 
6.20000 73.302 55.489 
6.30000 74.168 56.080 
6.40000 75.031 56.670 
6.50000 75.892 57.259 
6.60000 76.751 57.847 
6.70000 77.608 58.433 
6.80000 78.463 59.018 
6.90000 79.315 59.601 
7.00000 80.165 60.183 
7.10000 81.013 60.763 
7.20000 81.858 61.342 
7.30000 82.701 61.919 
7.40000 83.541 62.495 
7.50000 84.379 63.069 
7.60000 85.215 63.641 
7.70000 86.049 64.213 
7.80000 86.880 64.783 
7.90000 87.709 65.351 
8.00000 88.536 65.918 
8.10000 89.361 66.484 
8.20000 90.184 67.048 
8.30000 91.005 67.611 
8.40000 91.824 68.173 
8.50000 92.640 68.733 
8.60000 93.455 69.292 
8.70000 94.267 69.849 
8.80000 95.078 70.406 
8.90000 95.887 70.961 
9.00000 96.694 71.515 
9.10000 97.499 72.068 
9.20000 98.302 72.619 
9.30000 99.103 73.169 
9.40000 99.902 73.718 
9.50000 100.700 74.266 
9.60000 101.496 74.813 
9.70000 102.290 75.358 
9.80000 103.082 75.903 
9.90000 103.873 76.446 
10.00000 104.662 76.988 
