# t[days] FUV NUV
0.50000 41.229 34.302 
0.60000 41.985 34.708 
0.70000 42.774 35.157 
0.80000 43.548 35.610 
0.90000 44.283 36.045 
1.00000 44.967 36.454 
1.10000 45.600 36.834 
1.20000 46.181 37.183 
1.30000 46.711 37.503 
1.40000 47.195 37.793 
1.50000 47.645 38.064 
1.60000 48.072 38.323 
1.70000 48.485 38.574 
1.80000 48.888 38.820 
1.90000 49.287 39.067 
2.00000 49.686 39.314 
2.10000 50.088 39.567 
2.20000 50.496 39.824 
2.30000 50.913 40.089 
2.40000 51.339 40.362 
2.50000 51.776 40.644 
2.60000 52.225 40.935 
2.70000 52.682 41.233 
2.80000 53.143 41.535 
2.90000 53.601 41.835 
3.00000 54.055 42.134 
3.10000 54.499 42.426 
3.20000 54.932 42.712 
3.30000 55.352 42.989 
3.40000 55.756 43.255 
3.50000 56.142 43.510 
3.60000 56.512 43.753 
3.70000 56.867 43.987 
3.80000 57.210 44.213 
3.90000 57.543 44.433 
4.00000 57.868 44.648 
4.10000 58.187 44.859 
4.20000 58.502 45.067 
4.30000 58.813 45.273 
4.40000 59.122 45.477 
4.50000 59.430 45.682 
4.60000 59.738 45.887 
4.70000 60.048 46.093 
4.80000 60.359 46.301 
4.90000 60.672 46.510 
5.00000 60.987 46.721 
5.10000 61.305 46.934 
5.20000 61.624 47.148 
5.30000 61.947 47.365 
5.40000 62.272 47.583 
5.50000 62.599 47.804 
5.60000 62.930 48.026 
5.70000 63.263 48.251 
5.80000 63.600 48.479 
5.90000 63.940 48.709 
6.00000 64.283 48.941 
6.10000 64.629 49.175 
6.20000 64.979 49.412 
6.30000 65.332 49.652 
6.40000 65.688 49.894 
6.50000 66.047 50.138 
6.60000 66.409 50.384 
6.70000 66.775 50.633 
6.80000 67.143 50.883 
6.90000 67.514 51.136 
7.00000 67.887 51.390 
7.10000 68.263 51.647 
7.20000 68.642 51.905 
7.30000 69.023 52.165 
7.40000 69.407 52.427 
7.50000 69.792 52.691 
7.60000 70.180 52.956 
7.70000 70.571 53.223 
7.80000 70.963 53.491 
7.90000 71.358 53.762 
8.00000 71.754 54.033 
8.10000 72.153 54.306 
8.20000 72.553 54.580 
8.30000 72.956 54.856 
8.40000 73.360 55.133 
8.50000 73.766 55.412 
8.60000 74.174 55.692 
8.70000 74.584 55.973 
8.80000 74.996 56.255 
8.90000 75.409 56.539 
9.00000 75.824 56.824 
9.10000 76.240 57.110 
9.20000 76.659 57.397 
9.30000 77.078 57.685 
9.40000 77.500 57.975 
9.50000 77.923 58.266 
9.60000 78.347 58.558 
9.70000 78.733 58.823 
9.80000 79.032 59.030 
9.90000 77.682 58.124 
10.00000 76.428 57.283 
