# t[days] FUV NUV
0.50000 44.226 36.956 
0.60000 44.475 37.009 
0.70000 44.893 37.198 
0.80000 45.401 37.463 
0.90000 45.950 37.768 
1.00000 46.526 38.099 
1.10000 47.115 38.447 
1.20000 47.704 38.799 
1.30000 48.295 39.158 
1.40000 48.883 39.519 
1.50000 49.466 39.880 
1.60000 50.044 40.240 
1.70000 50.615 40.598 
1.80000 51.178 40.953 
1.90000 51.735 41.306 
2.00000 52.286 41.656 
2.10000 52.831 42.004 
2.20000 53.370 42.350 
2.30000 53.905 42.693 
2.40000 54.435 43.035 
2.50000 54.959 43.374 
2.60000 55.480 43.712 
2.70000 55.998 44.049 
2.80000 56.514 44.384 
2.90000 57.027 44.720 
3.00000 57.538 45.054 
3.10000 58.048 45.389 
3.20000 58.558 45.724 
3.30000 59.067 46.059 
3.40000 59.576 46.395 
3.50000 60.084 46.731 
3.60000 60.591 47.067 
3.70000 61.099 47.403 
3.80000 61.605 47.740 
3.90000 62.110 48.076 
4.00000 62.614 48.411 
4.10000 63.117 48.747 
4.20000 63.619 49.081 
4.30000 64.119 49.416 
4.40000 64.617 49.749 
4.50000 65.114 50.082 
4.60000 65.609 50.414 
4.70000 66.103 50.745 
4.80000 66.594 51.075 
4.90000 67.084 51.404 
5.00000 67.571 51.731 
5.10000 68.057 52.058 
5.20000 68.539 52.383 
5.30000 69.020 52.706 
5.40000 69.498 53.029 
5.50000 69.973 53.349 
5.60000 70.446 53.668 
5.70000 70.916 53.985 
5.80000 71.383 54.301 
5.90000 71.847 54.615 
6.00000 72.309 54.927 
6.10000 72.767 55.237 
6.20000 73.223 55.546 
6.30000 73.676 55.852 
6.40000 74.126 56.157 
6.50000 74.573 56.460 
6.60000 75.019 56.762 
6.70000 75.462 57.063 
6.80000 75.903 57.362 
6.90000 76.343 57.661 
7.00000 76.781 57.958 
7.10000 77.228 58.262 
7.20000 77.690 58.576 
7.30000 78.161 58.896 
7.40000 78.631 59.215 
7.50000 79.101 59.535 
7.60000 79.571 59.855 
7.70000 80.041 60.174 
7.80000 80.510 60.494 
7.90000 80.980 60.814 
8.00000 81.449 61.133 
8.10000 81.919 61.454 
8.20000 82.390 61.774 
8.30000 82.860 62.095 
8.40000 83.331 62.417 
8.50000 83.803 62.739 
8.60000 84.275 63.061 
8.70000 84.749 63.384 
8.80000 85.222 63.708 
8.90000 85.697 64.032 
9.00000 86.173 64.357 
9.10000 86.650 64.683 
9.20000 87.127 65.010 
9.30000 87.606 65.337 
9.40000 88.086 65.666 
9.50000 88.568 65.995 
9.60000 89.050 66.326 
9.70000 89.534 66.657 
9.80000 90.019 66.990 
9.90000 90.506 67.323 
10.00000 90.994 67.658 
