# t[days] FUV NUV
0.50000 29.591 27.057 
0.60000 30.156 27.360 
0.70000 30.811 27.731 
0.80000 31.443 28.101 
0.90000 32.041 28.459 
1.00000 32.623 28.813 
1.10000 33.207 29.176 
1.20000 33.804 29.553 
1.30000 34.413 29.942 
1.40000 35.034 30.343 
1.50000 35.664 30.754 
1.60000 36.303 31.173 
1.70000 36.948 31.599 
1.80000 37.598 32.030 
1.90000 38.252 32.465 
2.00000 38.909 32.903 
2.10000 39.567 33.344 
2.20000 40.430 33.915 
2.30000 41.326 34.509 
2.40000 42.229 35.109 
2.50000 43.139 35.715 
2.60000 44.053 36.325 
2.70000 44.971 36.939 
2.80000 45.891 37.555 
2.90000 46.812 38.173 
3.00000 47.734 38.792 
3.10000 48.656 39.411 
3.20000 49.576 40.030 
3.30000 50.495 40.649 
3.40000 51.410 41.266 
3.50000 52.324 41.882 
3.60000 53.234 42.497 
3.70000 54.142 43.110 
3.80000 55.046 43.722 
3.90000 55.947 44.331 
4.00000 56.844 44.938 
4.10000 57.737 45.544 
4.20000 58.627 46.147 
4.30000 59.513 46.748 
4.40000 60.395 47.346 
4.50000 61.274 47.942 
4.60000 62.149 48.537 
4.70000 63.020 49.128 
4.80000 63.888 49.718 
4.90000 64.752 50.306 
5.00000 65.614 50.892 
5.10000 66.471 51.475 
5.20000 67.326 52.057 
5.30000 68.177 52.636 
5.40000 69.025 53.214 
5.50000 69.870 53.790 
5.60000 70.713 54.364 
5.70000 71.552 54.936 
5.80000 72.388 55.506 
5.90000 73.222 56.075 
6.00000 74.053 56.642 
6.10000 74.881 57.208 
6.20000 75.707 57.771 
6.30000 76.531 58.334 
6.40000 77.352 58.894 
6.50000 78.170 59.453 
6.60000 78.987 60.011 
6.70000 79.801 60.568 
6.80000 80.612 61.122 
6.90000 81.422 61.676 
7.00000 82.230 62.228 
7.10000 83.035 62.779 
7.20000 83.839 63.329 
7.30000 84.640 63.877 
7.40000 85.440 64.425 
7.50000 86.237 64.971 
7.60000 87.033 65.515 
7.70000 87.827 66.059 
7.80000 88.619 66.601 
7.90000 89.409 67.143 
8.00000 90.198 67.683 
8.10000 90.984 68.222 
8.20000 91.770 68.760 
8.30000 92.553 69.297 
8.40000 93.335 69.833 
8.50000 94.115 70.368 
8.60000 94.894 70.902 
8.70000 95.671 71.435 
8.80000 96.447 71.967 
8.90000 97.221 72.498 
9.00000 97.994 73.029 
9.10000 98.765 73.558 
9.20000 99.535 74.086 
9.30000 100.304 74.614 
9.40000 101.071 75.141 
9.50000 101.837 75.666 
9.60000 102.601 76.191 
9.70000 103.365 76.715 
9.80000 104.127 77.239 
9.90000 104.888 77.761 
10.00000 105.647 78.283 
