# t[days] FUV NUV
0.50000 50.445 41.331 
0.60000 50.633 41.341 
0.70000 51.012 41.502 
0.80000 51.514 41.764 
0.90000 52.084 42.083 
1.00000 52.713 42.451 
1.10000 53.383 42.855 
1.20000 54.063 43.272 
1.30000 54.729 43.683 
1.40000 55.371 44.082 
1.50000 55.973 44.456 
1.60000 56.532 44.803 
1.70000 57.044 45.120 
1.80000 57.505 45.404 
1.90000 57.918 45.657 
2.00000 58.294 45.886 
2.10000 58.644 46.098 
2.20000 58.975 46.299 
2.30000 59.294 46.493 
2.40000 59.608 46.684 
2.50000 59.918 46.874 
2.60000 60.229 47.067 
2.70000 60.545 47.263 
2.80000 60.866 47.464 
2.90000 61.195 47.672 
3.00000 61.533 47.886 
3.10000 61.877 48.105 
3.20000 62.230 48.332 
3.30000 62.593 48.565 
3.40000 62.964 48.806 
3.50000 63.343 49.052 
3.60000 63.732 49.306 
3.70000 64.131 49.567 
3.80000 64.539 49.836 
3.90000 64.955 50.110 
4.00000 65.381 50.391 
4.10000 65.813 50.678 
4.20000 66.250 50.968 
4.30000 66.688 51.260 
4.40000 67.126 51.551 
4.50000 67.562 51.842 
4.60000 67.996 52.131 
4.70000 68.424 52.417 
4.80000 68.846 52.699 
4.90000 69.260 52.976 
5.00000 69.666 53.247 
5.10000 70.062 53.512 
5.20000 70.449 53.771 
5.30000 70.824 54.021 
5.40000 71.187 54.264 
5.50000 71.537 54.498 
5.60000 71.876 54.724 
5.70000 72.203 54.942 
5.80000 72.520 55.154 
5.90000 72.828 55.359 
6.00000 73.129 55.560 
6.10000 73.423 55.756 
6.20000 73.711 55.948 
6.30000 73.994 56.137 
6.40000 74.272 56.322 
6.50000 74.548 56.506 
6.60000 74.821 56.689 
6.70000 75.091 56.870 
6.80000 75.361 57.050 
6.90000 75.629 57.229 
7.00000 75.898 57.409 
7.10000 76.166 57.589 
7.20000 76.436 57.770 
7.30000 76.706 57.951 
7.40000 76.979 58.134 
7.50000 77.252 58.318 
7.60000 77.529 58.505 
7.70000 77.808 58.693 
7.80000 78.090 58.883 
7.90000 78.375 59.075 
8.00000 78.665 59.271 
8.10000 78.957 59.469 
8.20000 79.254 59.670 
8.30000 79.556 59.874 
8.40000 79.861 60.081 
8.50000 80.172 60.292 
8.60000 80.488 60.507 
8.70000 80.809 60.725 
8.80000 81.135 60.947 
8.90000 81.467 61.173 
9.00000 81.805 61.402 
9.10000 82.149 61.637 
9.20000 82.498 61.875 
9.30000 82.854 62.118 
9.40000 83.216 62.366 
9.50000 83.585 62.617 
9.60000 83.960 62.874 
9.70000 84.342 63.135 
9.80000 84.731 63.402 
9.90000 85.127 63.673 
10.00000 85.530 63.949 
