# t[days] FUV NUV
0.50000 37.821 32.267 
0.60000 37.863 32.176 
0.70000 38.049 32.203 
0.80000 38.319 32.303 
0.90000 38.634 32.445 
1.00000 38.977 32.614 
1.10000 39.340 32.804 
1.20000 39.712 33.006 
1.30000 40.082 33.211 
1.40000 40.450 33.419 
1.50000 40.813 33.627 
1.60000 41.166 33.830 
1.70000 41.511 34.031 
1.80000 41.845 34.227 
1.90000 42.172 34.419 
2.00000 42.493 34.609 
2.10000 42.810 34.799 
2.20000 43.124 34.988 
2.30000 43.437 35.177 
2.40000 43.748 35.366 
2.50000 44.059 35.557 
2.60000 44.370 35.749 
2.70000 44.682 35.942 
2.80000 44.995 36.137 
2.90000 45.309 36.334 
3.00000 45.624 36.532 
3.10000 45.941 36.732 
3.20000 46.259 36.934 
3.30000 46.579 37.138 
3.40000 46.901 37.343 
3.50000 47.225 37.551 
3.60000 47.550 37.760 
3.70000 47.876 37.971 
3.80000 48.201 38.181 
3.90000 48.524 38.390 
4.00000 48.846 38.600 
4.10000 49.168 38.809 
4.20000 49.488 39.018 
4.30000 49.808 39.227 
4.40000 50.125 39.434 
4.50000 50.441 39.641 
4.60000 50.754 39.847 
4.70000 51.066 40.051 
4.80000 51.375 40.254 
4.90000 51.681 40.456 
5.00000 51.985 40.656 
5.10000 52.287 40.856 
5.20000 52.587 41.054 
5.30000 52.885 41.250 
5.40000 53.181 41.446 
5.50000 53.475 41.641 
5.60000 53.767 41.834 
5.70000 54.058 42.027 
5.80000 54.347 42.219 
5.90000 54.634 42.409 
6.00000 54.919 42.599 
6.10000 55.204 42.788 
6.20000 55.486 42.976 
6.30000 55.767 43.164 
6.40000 56.047 43.350 
6.50000 56.326 43.536 
6.60000 56.603 43.722 
6.70000 56.880 43.906 
6.80000 57.156 44.091 
6.90000 57.431 44.275 
7.00000 57.706 44.459 
7.10000 57.980 44.643 
7.20000 58.254 44.826 
7.30000 58.528 45.010 
7.40000 58.802 45.194 
7.50000 59.075 45.378 
7.60000 59.349 45.562 
7.70000 59.624 45.747 
7.80000 59.898 45.932 
7.90000 60.173 46.117 
8.00000 60.448 46.302 
8.10000 60.724 46.489 
8.20000 61.001 46.675 
8.30000 61.278 46.862 
8.40000 61.556 47.050 
8.50000 61.835 47.239 
8.60000 62.115 47.428 
8.70000 62.395 47.618 
8.80000 62.677 47.808 
8.90000 62.959 48.000 
9.00000 63.243 48.192 
9.10000 63.528 48.386 
9.20000 63.814 48.580 
9.30000 64.101 48.775 
9.40000 64.390 48.971 
9.50000 64.679 49.168 
9.60000 64.971 49.366 
9.70000 65.263 49.565 
9.80000 65.557 49.765 
9.90000 65.852 49.966 
10.00000 66.149 50.168 
