# t[days] FUV NUV
0.50000 33.903 29.612 
0.60000 34.293 29.768 
0.70000 34.641 29.913 
0.80000 34.976 30.064 
0.90000 35.347 30.250 
1.00000 35.776 30.486 
1.10000 36.250 30.761 
1.20000 36.745 31.055 
1.30000 37.244 31.357 
1.40000 37.734 31.657 
1.50000 38.208 31.950 
1.60000 38.661 32.231 
1.70000 39.090 32.498 
1.80000 39.491 32.749 
1.90000 39.872 32.987 
2.00000 40.243 33.220 
2.10000 40.614 33.455 
2.20000 40.990 33.695 
2.30000 41.379 33.946 
2.40000 41.785 34.209 
2.50000 42.207 34.484 
2.60000 42.643 34.771 
2.70000 43.092 35.067 
2.80000 43.552 35.371 
2.90000 44.022 35.684 
3.00000 44.501 36.003 
3.10000 44.988 36.329 
3.20000 45.482 36.660 
3.30000 45.984 36.997 
3.40000 46.422 37.294 
3.50000 46.666 37.464 
3.60000 46.937 37.652 
3.70000 47.232 37.857 
3.80000 47.547 38.075 
3.90000 47.881 38.305 
4.00000 48.230 38.545 
4.10000 48.592 38.795 
4.20000 48.966 39.052 
4.30000 49.350 39.317 
4.40000 49.743 39.587 
4.50000 50.144 39.863 
4.60000 50.550 40.142 
4.70000 50.963 40.426 
4.80000 51.495 40.788 
4.90000 52.187 41.255 
5.00000 52.881 41.725 
5.10000 53.579 42.198 
5.20000 54.279 42.672 
5.30000 54.982 43.148 
5.40000 55.687 43.626 
5.50000 56.393 44.105 
5.60000 57.100 44.586 
5.70000 57.809 45.067 
5.80000 58.518 45.549 
5.90000 59.228 46.031 
6.00000 59.938 46.514 
6.10000 60.648 46.997 
6.20000 61.358 47.480 
6.30000 62.067 47.962 
6.40000 62.775 48.445 
6.50000 63.482 48.927 
6.60000 64.189 49.408 
6.70000 64.894 49.888 
6.80000 65.597 50.368 
6.90000 66.300 50.847 
7.00000 67.001 51.326 
7.10000 67.701 51.803 
7.20000 68.399 52.279 
7.30000 69.095 52.755 
7.40000 69.790 53.229 
7.50000 70.483 53.702 
7.60000 71.175 54.175 
7.70000 71.864 54.646 
7.80000 72.552 55.115 
7.90000 73.238 55.584 
8.00000 73.921 56.051 
8.10000 74.603 56.517 
8.20000 75.282 56.982 
8.30000 75.960 57.445 
8.40000 76.636 57.907 
8.50000 77.309 58.368 
8.60000 77.981 58.828 
8.70000 78.651 59.286 
8.80000 79.319 59.743 
8.90000 79.986 60.199 
9.00000 80.650 60.654 
9.10000 81.313 61.108 
9.20000 81.973 61.560 
9.30000 82.632 62.012 
9.40000 83.290 62.462 
9.50000 83.945 62.911 
9.60000 84.599 63.359 
9.70000 85.251 63.806 
9.80000 85.902 64.251 
9.90000 86.551 64.696 
10.00000 87.198 65.140 
