# t[days] FUV NUV
0.50000 45.652 37.661 
0.60000 45.887 37.704 
0.70000 46.299 37.889 
0.80000 46.810 38.156 
0.90000 47.360 38.461 
1.00000 47.939 38.795 
1.10000 48.528 39.143 
1.20000 49.097 39.482 
1.30000 49.626 39.798 
1.40000 50.107 40.084 
1.50000 50.528 40.332 
1.60000 50.888 40.542 
1.70000 51.185 40.709 
1.80000 51.423 40.838 
1.90000 51.620 40.941 
2.00000 51.794 41.029 
2.10000 51.959 41.113 
2.20000 52.125 41.199 
2.30000 52.298 41.292 
2.40000 52.489 41.397 
2.50000 52.698 41.518 
2.60000 52.930 41.655 
2.70000 53.186 41.809 
2.80000 53.459 41.978 
2.90000 53.752 42.159 
3.00000 54.061 42.354 
3.10000 54.383 42.558 
3.20000 54.720 42.773 
3.30000 55.069 42.998 
3.40000 55.429 43.230 
3.50000 55.799 43.471 
3.60000 56.178 43.718 
3.70000 56.565 43.971 
3.80000 56.954 44.226 
3.90000 57.344 44.482 
4.00000 57.731 44.737 
4.10000 58.115 44.990 
4.20000 58.492 45.238 
4.30000 58.859 45.481 
4.40000 59.217 45.717 
4.50000 59.564 45.946 
4.60000 59.898 46.166 
4.70000 60.218 46.377 
4.80000 60.523 46.577 
4.90000 60.812 46.767 
5.00000 61.087 46.947 
5.10000 61.348 47.119 
5.20000 61.599 47.283 
5.30000 61.841 47.441 
5.40000 62.077 47.595 
5.50000 62.307 47.746 
5.60000 62.533 47.894 
5.70000 62.757 48.040 
5.80000 62.980 48.186 
5.90000 63.203 48.333 
6.00000 63.428 48.480 
6.10000 63.654 48.629 
6.20000 63.883 48.781 
6.30000 64.117 48.935 
6.40000 64.355 49.093 
6.50000 64.598 49.254 
6.60000 64.848 49.421 
6.70000 65.104 49.591 
6.80000 65.366 49.766 
6.90000 65.634 49.946 
7.00000 65.907 50.129 
7.10000 66.186 50.316 
7.20000 66.469 50.506 
7.30000 66.757 50.700 
7.40000 67.049 50.897 
7.50000 67.346 51.097 
7.60000 67.646 51.300 
7.70000 67.950 51.505 
7.80000 68.257 51.713 
7.90000 68.568 51.923 
8.00000 68.881 52.136 
8.10000 69.198 52.350 
8.20000 69.518 52.567 
8.30000 69.839 52.786 
8.40000 70.164 53.006 
8.50000 70.490 53.228 
8.60000 70.819 53.451 
8.70000 71.150 53.677 
8.80000 71.483 53.903 
8.90000 71.818 54.131 
9.00000 72.154 54.360 
9.10000 72.492 54.591 
9.20000 72.832 54.822 
9.30000 73.172 55.054 
9.40000 73.515 55.288 
9.50000 73.858 55.522 
9.60000 74.203 55.758 
9.70000 74.548 55.994 
9.80000 74.895 56.231 
9.90000 75.242 56.468 
10.00000 75.591 56.706 
