# t[days] FUV NUV
0.50000 30.733 27.138 
0.60000 31.570 27.606 
0.70000 32.436 28.115 
0.80000 33.310 28.642 
0.90000 34.183 29.180 
1.00000 35.052 29.724 
1.10000 35.918 30.274 
1.20000 36.777 30.823 
1.30000 37.747 31.447 
1.40000 38.706 32.067 
1.50000 39.647 32.677 
1.60000 40.563 33.273 
1.70000 41.445 33.849 
1.80000 42.296 34.404 
1.90000 43.113 34.938 
2.00000 43.897 35.452 
2.10000 44.648 35.943 
2.20000 45.367 36.415 
2.30000 46.051 36.864 
2.40000 46.707 37.294 
2.50000 47.335 37.706 
2.60000 47.938 38.102 
2.70000 48.520 38.484 
2.80000 49.080 38.851 
2.90000 49.622 39.208 
3.00000 50.148 39.553 
3.10000 50.657 39.888 
3.20000 51.152 40.214 
3.30000 51.636 40.533 
3.40000 52.106 40.843 
3.50000 52.566 41.146 
3.60000 53.018 41.445 
3.70000 53.460 41.737 
3.80000 53.894 42.024 
3.90000 54.322 42.307 
4.00000 54.742 42.586 
4.10000 55.157 42.861 
4.20000 55.567 43.132 
4.30000 55.972 43.402 
4.40000 56.372 43.668 
4.50000 56.767 43.931 
4.60000 57.159 44.192 
4.70000 57.545 44.449 
4.80000 57.927 44.703 
4.90000 58.304 44.955 
5.00000 58.676 45.204 
5.10000 59.044 45.449 
5.20000 59.407 45.692 
5.30000 59.766 45.932 
5.40000 60.119 46.169 
5.50000 60.468 46.403 
5.60000 60.813 46.634 
5.70000 61.153 46.861 
5.80000 61.488 47.086 
5.90000 61.820 47.309 
6.00000 62.146 47.528 
6.10000 62.470 47.745 
6.20000 62.789 47.959 
6.30000 63.105 48.171 
6.40000 63.418 48.382 
6.50000 63.727 48.590 
6.60000 64.034 48.796 
6.70000 64.338 49.001 
6.80000 64.639 49.204 
6.90000 64.939 49.406 
7.00000 65.235 49.605 
7.10000 65.531 49.805 
7.20000 65.824 50.002 
7.30000 66.115 50.199 
7.40000 66.405 50.395 
7.50000 66.693 50.589 
7.60000 66.981 50.784 
7.70000 67.266 50.976 
7.80000 67.552 51.169 
7.90000 67.835 51.361 
8.00000 68.118 51.552 
8.10000 68.399 51.743 
8.20000 68.681 51.934 
8.30000 68.961 52.123 
8.40000 69.241 52.313 
8.50000 69.520 52.503 
8.60000 69.799 52.692 
8.70000 70.077 52.881 
8.80000 70.356 53.070 
8.90000 70.634 53.258 
9.00000 70.912 53.447 
9.10000 71.189 53.636 
9.20000 71.467 53.825 
9.30000 71.744 54.013 
9.40000 72.022 54.202 
9.50000 72.300 54.391 
9.60000 72.578 54.580 
9.70000 72.856 54.770 
9.80000 73.134 54.959 
9.90000 73.413 55.149 
10.00000 73.692 55.339 
