# t[days] FUV NUV
0.50000 37.258 32.482 
0.60000 38.303 33.116 
0.70000 39.313 33.744 
0.80000 40.316 34.381 
0.90000 41.354 35.053 
1.00000 42.444 35.767 
1.10000 43.574 36.516 
1.20000 44.736 37.291 
1.30000 45.924 38.088 
1.40000 47.131 38.900 
1.50000 48.352 39.726 
1.60000 49.586 40.562 
1.70000 50.948 41.483 
1.80000 52.326 42.417 
1.90000 53.692 43.344 
2.00000 55.351 44.465 
2.10000 57.039 45.607 
2.20000 58.730 46.753 
2.30000 60.420 47.899 
2.40000 62.105 49.043 
2.50000 63.784 50.184 
2.60000 65.455 51.320 
2.70000 67.117 52.452 
2.80000 68.769 53.577 
2.90000 70.410 54.696 
3.00000 72.040 55.807 
3.10000 73.659 56.912 
3.20000 75.267 58.009 
3.30000 76.864 59.100 
3.40000 78.450 60.183 
3.50000 80.026 61.261 
3.60000 81.592 62.331 
3.70000 83.148 63.396 
3.80000 84.695 64.454 
3.90000 86.232 65.506 
4.00000 87.761 66.553 
4.10000 89.282 67.595 
4.20000 90.794 68.631 
4.30000 92.299 69.662 
4.40000 93.797 70.689 
4.50000 95.287 71.711 
4.60000 96.771 72.729 
4.70000 98.248 73.742 
4.80000 99.719 74.751 
4.90000 101.184 75.757 
5.00000 102.643 76.758 
5.10000 104.096 77.756 
5.20000 105.544 78.750 
5.30000 106.987 79.741 
5.40000 108.424 80.729 
5.50000 109.857 81.713 
5.60000 111.284 82.695 
5.70000 112.707 83.673 
5.80000 114.126 84.648 
5.90000 115.540 85.621 
6.00000 116.950 86.590 
6.10000 118.355 87.557 
6.20000 119.757 88.521 
6.30000 121.154 89.483 
6.40000 122.548 90.442 
6.50000 123.937 91.398 
6.60000 125.323 92.352 
6.70000 126.706 93.304 
6.80000 128.084 94.253 
6.90000 129.460 95.200 
7.00000 130.831 96.145 
7.10000 132.200 97.088 
7.20000 133.565 98.028 
7.30000 134.927 98.967 
7.40000 136.286 99.903 
7.50000 137.642 100.837 
7.60000 138.994 101.769 
7.70000 140.344 102.699 
7.80000 141.690 103.628 
7.90000 143.034 104.554 
8.00000 144.375 105.478 
8.10000 145.713 106.401 
8.20000 147.048 107.322 
8.30000 148.381 108.241 
8.40000 149.710 109.158 
8.50000 151.038 110.073 
8.60000 152.362 110.987 
8.70000 153.684 111.899 
8.80000 155.004 112.809 
8.90000 156.321 113.718 
9.00000 157.635 114.625 
9.10000 158.947 115.531 
9.20000 160.257 116.434 
9.30000 161.564 117.337 
9.40000 162.869 118.238 
9.50000 164.172 119.137 
9.60000 165.473 120.035 
9.70000 166.771 120.931 
9.80000 168.068 121.826 
9.90000 169.362 122.720 
10.00000 170.654 123.612 
