# t[days] FUV NUV
0.50000 34.655 29.983 
0.60000 35.066 30.181 
0.70000 35.430 30.365 
0.80000 35.777 30.550 
0.90000 36.131 30.749 
1.00000 36.506 30.969 
1.10000 36.896 31.206 
1.20000 37.289 31.448 
1.30000 37.675 31.688 
1.40000 38.050 31.923 
1.50000 38.414 32.154 
1.60000 38.771 32.381 
1.70000 39.124 32.607 
1.80000 39.474 32.832 
1.90000 39.824 33.059 
2.00000 40.177 33.288 
2.10000 40.535 33.522 
2.20000 40.903 33.763 
2.30000 41.281 34.013 
2.40000 41.671 34.271 
2.50000 42.074 34.539 
2.60000 42.490 34.817 
2.70000 42.916 35.102 
2.80000 43.353 35.395 
2.90000 43.800 35.696 
3.00000 44.256 36.003 
3.10000 44.720 36.316 
3.20000 45.193 36.635 
3.30000 45.672 36.960 
3.40000 46.159 37.289 
3.50000 46.651 37.623 
3.60000 47.149 37.961 
3.70000 47.651 38.303 
3.80000 48.158 38.647 
3.90000 48.668 38.995 
4.00000 49.183 39.345 
4.10000 49.699 39.698 
4.20000 50.219 40.052 
4.30000 50.741 40.408 
4.40000 51.264 40.765 
4.50000 51.787 41.123 
4.60000 52.284 41.463 
4.70000 52.460 41.592 
4.80000 51.611 41.047 
4.90000 52.035 41.339 
5.00000 52.729 41.809 
5.10000 53.425 42.280 
5.20000 54.121 42.751 
5.30000 54.818 43.224 
5.40000 55.516 43.696 
5.50000 56.213 44.169 
5.60000 56.911 44.643 
5.70000 57.608 45.116 
5.80000 58.304 45.589 
5.90000 58.999 46.061 
6.00000 59.694 46.533 
6.10000 60.387 47.004 
6.20000 61.078 47.475 
6.30000 61.768 47.944 
6.40000 62.456 48.412 
6.50000 63.142 48.879 
6.60000 63.826 49.345 
6.70000 64.508 49.809 
6.80000 65.188 50.272 
6.90000 65.865 50.734 
7.00000 66.541 51.194 
7.10000 67.214 51.653 
7.20000 67.885 52.111 
7.30000 68.553 52.567 
7.40000 69.220 53.022 
7.50000 69.884 53.475 
7.60000 70.547 53.927 
7.70000 71.207 54.377 
7.80000 71.864 54.826 
7.90000 72.520 55.274 
8.00000 73.173 55.720 
8.10000 73.824 56.165 
8.20000 74.473 56.608 
8.30000 75.120 57.050 
8.40000 75.765 57.491 
8.50000 76.408 57.930 
8.60000 77.049 58.368 
8.70000 77.688 58.805 
8.80000 78.325 59.241 
8.90000 78.960 59.675 
9.00000 79.594 60.108 
9.10000 80.225 60.541 
9.20000 80.855 60.972 
9.30000 81.484 61.402 
9.40000 82.110 61.830 
9.50000 82.735 62.258 
9.60000 83.359 62.685 
9.70000 83.981 63.111 
9.80000 84.601 63.536 
9.90000 85.221 63.960 
10.00000 85.838 64.383 
