# t[days] FUV NUV
0.50000 41.464 35.676 
0.60000 43.657 37.128 
0.70000 46.065 38.735 
0.80000 49.125 40.775 
0.90000 52.249 42.871 
1.00000 55.399 44.993 
1.10000 58.546 47.119 
1.20000 61.672 49.236 
1.30000 64.768 51.337 
1.40000 67.830 53.418 
1.50000 70.855 55.476 
1.60000 73.844 57.513 
1.70000 76.799 59.529 
1.80000 79.721 61.524 
1.90000 82.612 63.499 
2.00000 85.475 65.457 
2.10000 88.311 67.398 
2.20000 91.122 69.322 
2.30000 93.910 71.233 
2.40000 96.676 73.129 
2.50000 99.422 75.012 
2.60000 102.148 76.882 
2.70000 104.856 78.741 
2.80000 107.546 80.588 
2.90000 110.220 82.425 
3.00000 112.878 84.252 
3.10000 115.521 86.069 
3.20000 118.150 87.877 
3.30000 120.764 89.675 
3.40000 123.366 91.465 
3.50000 125.955 93.247 
3.60000 128.531 95.021 
3.70000 131.095 96.786 
3.80000 133.649 98.545 
3.90000 136.190 100.296 
4.00000 138.721 102.040 
4.10000 141.242 103.777 
4.20000 143.753 105.508 
4.30000 146.253 107.232 
4.40000 148.744 108.949 
4.50000 151.226 110.661 
4.60000 153.699 112.366 
4.70000 156.162 114.066 
4.80000 158.618 115.760 
4.90000 161.064 117.449 
5.00000 163.503 119.132 
5.10000 165.934 120.810 
5.20000 168.356 122.482 
5.30000 170.771 124.150 
5.40000 173.179 125.812 
5.50000 175.579 127.470 
5.60000 177.972 129.122 
5.70000 180.358 130.770 
5.80000 182.737 132.414 
5.90000 185.109 134.053 
6.00000 187.475 135.688 
6.10000 189.834 137.318 
6.20000 192.187 138.944 
6.30000 194.534 140.566 
6.40000 196.874 142.183 
6.50000 199.208 143.797 
6.60000 201.537 145.407 
6.70000 203.860 147.012 
6.80000 206.176 148.614 
6.90000 208.488 150.213 
7.00000 210.793 151.807 
7.10000 213.094 153.398 
7.20000 215.388 154.985 
7.30000 217.678 156.569 
7.40000 219.962 158.149 
7.50000 222.242 159.725 
7.60000 224.516 161.299 
7.70000 226.785 162.869 
7.80000 229.049 164.435 
7.90000 231.309 165.999 
8.00000 233.564 167.559 
8.10000 235.814 169.116 
8.20000 238.059 170.670 
8.30000 240.300 172.221 
8.40000 242.537 173.769 
8.50000 244.769 175.314 
8.60000 246.996 176.856 
8.70000 249.220 178.395 
8.80000 251.439 179.931 
8.90000 253.654 181.464 
9.00000 255.864 182.995 
9.10000 258.071 184.523 
9.20000 260.274 186.048 
9.30000 262.473 187.570 
9.40000 264.667 189.090 
9.50000 266.858 190.607 
9.60000 269.045 192.121 
9.70000 271.228 193.633 
9.80000 273.408 195.143 
9.90000 275.584 196.649 
10.00000 277.756 198.154 
