# t[days] FUV NUV
0.50000 34.846 30.904 
0.60000 37.309 32.497 
0.70000 39.832 34.150 
0.80000 42.360 35.821 
0.90000 44.865 37.485 
1.00000 47.337 39.135 
1.10000 49.773 40.767 
1.20000 52.175 42.381 
1.30000 54.546 43.977 
1.40000 56.888 45.557 
1.50000 59.203 47.122 
1.60000 61.494 48.673 
1.70000 63.763 50.212 
1.80000 66.012 51.739 
1.90000 68.242 53.254 
2.00000 70.454 54.759 
2.10000 72.649 56.253 
2.20000 74.828 57.739 
2.30000 76.993 59.215 
2.40000 79.143 60.683 
2.50000 81.280 62.143 
2.60000 83.404 63.594 
2.70000 85.516 65.038 
2.80000 87.616 66.475 
2.90000 89.705 67.905 
3.00000 91.782 69.328 
3.10000 93.850 70.744 
3.20000 95.907 72.154 
3.30000 97.954 73.558 
3.40000 99.992 74.956 
3.50000 102.020 76.348 
3.60000 104.040 77.735 
3.70000 106.051 79.116 
3.80000 108.054 80.491 
3.90000 110.049 81.862 
4.00000 112.036 83.227 
4.10000 114.015 84.587 
4.20000 115.986 85.943 
4.30000 117.950 87.294 
4.40000 119.908 88.640 
4.50000 121.858 89.982 
4.60000 123.801 91.320 
4.70000 125.738 92.653 
4.80000 127.668 93.982 
4.90000 129.592 95.306 
5.00000 131.510 96.627 
5.10000 133.422 97.944 
5.20000 135.328 99.257 
5.30000 137.228 100.566 
5.40000 139.122 101.872 
5.50000 141.011 103.174 
5.60000 142.895 104.472 
5.70000 144.773 105.767 
5.80000 146.646 107.058 
5.90000 148.513 108.346 
6.00000 150.376 109.631 
6.10000 152.233 110.912 
6.20000 154.086 112.190 
6.30000 155.934 113.465 
6.40000 157.777 114.737 
6.50000 159.616 116.006 
6.60000 161.450 117.271 
6.70000 163.280 118.534 
6.80000 165.105 119.794 
6.90000 166.926 121.051 
7.00000 168.743 122.306 
7.10000 170.555 123.557 
7.20000 172.363 124.806 
7.30000 174.168 126.052 
7.40000 175.968 127.295 
7.50000 177.764 128.536 
7.60000 179.557 129.774 
7.70000 181.345 131.010 
7.80000 183.130 132.243 
7.90000 184.911 133.473 
8.00000 186.689 134.702 
8.10000 188.463 135.927 
8.20000 190.233 137.151 
8.30000 192.000 138.372 
8.40000 193.763 139.591 
8.50000 195.523 140.807 
8.60000 197.280 142.021 
8.70000 199.033 143.233 
8.80000 200.783 144.443 
8.90000 202.530 145.651 
9.00000 204.273 146.856 
9.10000 206.013 148.060 
9.20000 207.751 149.261 
9.30000 209.485 150.460 
9.40000 211.216 151.657 
9.50000 212.944 152.852 
9.60000 214.669 154.046 
9.70000 216.391 155.237 
9.80000 218.110 156.426 
9.90000 219.827 157.613 
10.00000 221.540 158.799 
