# t[days] FUV NUV
0.50000 32.566 29.036 
0.60000 34.161 30.050 
0.70000 35.985 31.221 
0.80000 37.814 32.408 
0.90000 39.609 33.582 
1.00000 41.360 34.735 
1.10000 43.062 35.860 
1.20000 44.723 36.962 
1.30000 46.353 38.048 
1.40000 47.960 39.122 
1.50000 49.547 40.186 
1.60000 51.114 41.239 
1.70000 52.665 42.283 
1.80000 54.200 43.319 
1.90000 55.718 44.346 
2.00000 57.220 45.363 
2.10000 58.706 46.370 
2.20000 60.223 47.400 
2.30000 61.886 48.527 
2.40000 63.550 49.657 
2.50000 65.213 50.786 
2.60000 66.874 51.916 
2.70000 68.532 53.044 
2.80000 70.187 54.172 
2.90000 71.837 55.297 
3.00000 73.483 56.419 
3.10000 75.125 57.539 
3.20000 76.760 58.656 
3.30000 78.390 59.770 
3.40000 80.015 60.880 
3.50000 81.633 61.986 
3.60000 83.244 63.089 
3.70000 84.849 64.187 
3.80000 86.447 65.281 
3.90000 88.038 66.371 
4.00000 89.623 67.457 
4.10000 91.202 68.539 
4.20000 92.774 69.617 
4.30000 94.340 70.690 
4.40000 95.900 71.760 
4.50000 97.454 72.826 
4.60000 99.001 73.888 
4.70000 100.542 74.946 
4.80000 102.078 76.001 
4.90000 103.608 77.051 
5.00000 105.132 78.098 
5.10000 106.651 79.142 
5.20000 108.164 80.182 
5.30000 109.672 81.218 
5.40000 111.175 82.251 
5.50000 112.673 83.281 
5.60000 114.166 84.308 
5.70000 115.655 85.332 
5.80000 117.138 86.352 
5.90000 118.618 87.370 
6.00000 120.092 88.385 
6.10000 121.562 89.397 
6.20000 123.028 90.406 
6.30000 124.490 91.412 
6.40000 125.948 92.415 
6.50000 127.401 93.416 
6.60000 128.851 94.415 
6.70000 130.297 95.410 
6.80000 131.738 96.404 
6.90000 133.177 97.395 
7.00000 134.611 98.383 
7.10000 136.042 99.369 
7.20000 137.469 100.353 
7.30000 138.893 101.334 
7.40000 140.314 102.313 
7.50000 141.731 103.291 
7.60000 143.145 104.265 
7.70000 144.556 105.238 
7.80000 145.963 106.209 
7.90000 147.368 107.177 
8.00000 148.769 108.144 
8.10000 150.168 109.109 
8.20000 151.563 110.071 
8.30000 152.956 111.032 
8.40000 154.345 111.991 
8.50000 155.732 112.948 
8.60000 157.116 113.903 
8.70000 158.498 114.856 
8.80000 159.876 115.807 
8.90000 161.252 116.757 
9.00000 162.625 117.705 
9.10000 163.996 118.651 
9.20000 165.364 119.596 
9.30000 166.730 120.539 
9.40000 168.093 121.480 
9.50000 169.454 122.420 
9.60000 170.813 123.358 
9.70000 172.169 124.294 
9.80000 173.522 125.229 
9.90000 174.874 126.163 
10.00000 176.223 127.095 
