# t[days] FUV NUV
0.50000 26.737 24.495 
0.60000 26.933 24.532 
0.70000 27.175 24.621 
0.80000 27.438 24.739 
0.90000 27.705 24.870 
1.00000 27.967 25.007 
1.10000 28.146 25.102 
1.20000 28.341 25.212 
1.30000 28.561 25.341 
1.40000 28.808 25.492 
1.50000 29.082 25.662 
1.60000 29.377 25.848 
1.70000 29.691 26.049 
1.80000 30.021 26.263 
1.90000 30.366 26.487 
2.00000 30.723 26.721 
2.10000 31.091 26.962 
2.20000 31.467 27.211 
2.30000 31.852 27.465 
2.40000 32.243 27.725 
2.50000 32.640 27.990 
2.60000 33.041 28.258 
2.70000 33.445 28.528 
2.80000 33.852 28.800 
2.90000 34.259 29.074 
3.00000 34.667 29.348 
3.10000 35.219 29.712 
3.20000 35.793 30.090 
3.30000 36.370 30.471 
3.40000 36.950 30.855 
3.50000 37.531 31.240 
3.60000 38.113 31.626 
3.70000 38.696 32.014 
3.80000 39.279 32.401 
3.90000 39.861 32.789 
4.00000 40.443 33.177 
4.10000 41.024 33.565 
4.20000 41.603 33.952 
4.30000 42.181 34.339 
4.40000 42.757 34.724 
4.50000 43.332 35.109 
4.60000 43.905 35.493 
4.70000 44.476 35.876 
4.80000 45.045 36.258 
4.90000 45.611 36.639 
5.00000 46.176 37.018 
5.10000 46.738 37.396 
5.20000 47.298 37.773 
5.30000 47.856 38.148 
5.40000 48.412 38.522 
5.50000 48.965 38.896 
5.60000 49.517 39.267 
5.70000 50.067 39.638 
5.80000 50.614 40.007 
5.90000 51.160 40.376 
6.00000 51.704 40.743 
6.10000 52.245 41.109 
6.20000 52.785 41.474 
6.30000 53.323 41.837 
6.40000 53.860 42.200 
6.50000 54.394 42.562 
6.60000 54.927 42.922 
6.70000 55.458 43.282 
6.80000 55.988 43.641 
6.90000 56.516 43.998 
7.00000 57.043 44.355 
7.10000 57.568 44.711 
7.20000 58.092 45.066 
7.30000 58.614 45.420 
7.40000 59.135 45.774 
7.50000 59.654 46.126 
7.60000 60.172 46.478 
7.70000 60.689 46.829 
7.80000 61.205 47.179 
7.90000 61.719 47.529 
8.00000 62.233 47.877 
8.10000 62.745 48.225 
8.20000 63.256 48.573 
8.30000 63.766 48.919 
8.40000 64.274 49.265 
8.50000 64.782 49.611 
8.60000 65.289 49.955 
8.70000 65.794 50.299 
8.80000 66.299 50.643 
8.90000 66.802 50.986 
9.00000 67.305 51.328 
9.10000 67.806 51.669 
9.20000 68.307 52.011 
9.30000 68.807 52.351 
9.40000 69.306 52.691 
9.50000 69.804 53.031 
9.60000 70.301 53.369 
9.70000 70.797 53.708 
9.80000 71.293 54.046 
9.90000 71.787 54.383 
10.00000 72.281 54.720 
