# t[days] FUV NUV
0.50000 25.177 23.354 
0.60000 25.442 23.434 
0.70000 25.703 23.532 
0.80000 25.971 23.648 
0.90000 26.257 23.787 
1.00000 26.557 23.945 
1.10000 26.866 24.116 
1.20000 27.179 24.295 
1.30000 27.492 24.478 
1.40000 27.801 24.662 
1.50000 28.104 24.844 
1.60000 28.400 25.025 
1.70000 28.709 25.214 
1.80000 29.059 25.428 
1.90000 29.402 25.639 
2.00000 29.738 25.846 
2.10000 30.067 26.051 
2.20000 30.394 26.256 
2.30000 30.720 26.461 
2.40000 31.046 26.668 
2.50000 31.374 26.877 
2.60000 31.705 27.089 
2.70000 32.037 27.303 
2.80000 32.371 27.520 
2.90000 32.707 27.738 
3.00000 33.045 27.959 
3.10000 33.385 28.181 
3.20000 33.727 28.406 
3.30000 34.070 28.632 
3.40000 34.415 28.860 
3.50000 34.762 29.089 
3.60000 35.110 29.320 
3.70000 35.460 29.553 
3.80000 35.812 29.787 
3.90000 36.165 30.023 
4.00000 36.519 30.260 
4.10000 36.874 30.497 
4.20000 37.230 30.736 
4.30000 37.587 30.975 
4.40000 37.944 31.215 
4.50000 38.301 31.455 
4.60000 38.658 31.696 
4.70000 39.014 31.936 
4.80000 39.371 32.177 
4.90000 39.727 32.417 
5.00000 40.082 32.657 
5.10000 40.437 32.897 
5.20000 40.790 33.136 
5.30000 41.142 33.374 
5.40000 41.493 33.611 
5.50000 41.842 33.848 
5.60000 42.190 34.084 
5.70000 42.535 34.318 
5.80000 42.879 34.552 
5.90000 43.221 34.784 
6.00000 43.605 35.043 
6.10000 44.058 35.348 
6.20000 44.512 35.652 
6.30000 44.965 35.957 
6.40000 45.418 36.261 
6.50000 45.870 36.566 
6.60000 46.322 36.870 
6.70000 46.773 37.174 
6.80000 47.223 37.477 
6.90000 47.673 37.780 
7.00000 48.121 38.083 
7.10000 48.569 38.385 
7.20000 49.015 38.686 
7.30000 49.460 38.987 
7.40000 49.905 39.287 
7.50000 50.348 39.586 
7.60000 50.790 39.885 
7.70000 51.231 40.183 
7.80000 51.670 40.480 
7.90000 52.109 40.777 
8.00000 52.547 41.073 
8.10000 52.983 41.368 
8.20000 53.418 41.663 
8.30000 53.852 41.957 
8.40000 54.285 42.250 
8.50000 54.717 42.543 
8.60000 55.148 42.835 
8.70000 55.578 43.126 
8.80000 56.006 43.417 
8.90000 56.434 43.707 
9.00000 56.860 43.996 
9.10000 57.285 44.284 
9.20000 57.709 44.572 
9.30000 58.132 44.859 
9.40000 58.554 45.146 
9.50000 58.975 45.431 
9.60000 59.394 45.716 
9.70000 59.813 46.000 
9.80000 60.230 46.284 
9.90000 60.646 46.567 
10.00000 61.061 46.849 
