# t[days] FUV NUV
0.50000 40.433 34.464 
0.60000 41.206 34.888 
0.70000 41.919 35.289 
0.80000 42.583 35.671 
0.90000 43.213 36.041 
1.00000 43.822 36.404 
1.10000 44.419 36.766 
1.20000 45.009 37.129 
1.30000 45.597 37.496 
1.40000 46.185 37.867 
1.50000 46.770 38.239 
1.60000 47.347 38.610 
1.70000 47.915 38.976 
1.80000 48.472 39.337 
1.90000 49.016 39.690 
2.00000 49.548 40.038 
2.10000 50.068 40.378 
2.20000 50.577 40.712 
2.30000 51.074 41.039 
2.40000 51.560 41.360 
2.50000 52.037 41.675 
2.60000 52.506 41.985 
2.70000 52.971 42.294 
2.80000 53.435 42.603 
2.90000 53.900 42.913 
3.00000 54.368 43.226 
3.10000 54.840 43.542 
3.20000 55.319 43.864 
3.30000 55.806 44.191 
3.40000 56.299 44.524 
3.50000 56.800 44.861 
3.60000 57.306 45.204 
3.70000 57.819 45.551 
3.80000 58.336 45.902 
3.90000 58.859 46.256 
4.00000 59.387 46.615 
4.10000 59.919 46.976 
4.20000 60.455 47.341 
4.30000 60.996 47.709 
4.40000 61.540 48.080 
4.50000 62.087 48.454 
4.60000 62.638 48.830 
4.70000 63.192 49.208 
4.80000 63.749 49.589 
4.90000 64.308 49.971 
5.00000 64.870 50.355 
5.10000 65.435 50.742 
5.20000 65.973 51.111 
5.30000 66.508 51.478 
5.40000 67.043 51.845 
5.50000 67.580 52.214 
5.60000 68.121 52.585 
5.70000 68.663 52.957 
5.80000 69.207 53.331 
5.90000 69.752 53.706 
6.00000 70.299 54.081 
6.10000 70.847 54.458 
6.20000 71.395 54.835 
6.30000 71.944 55.212 
6.40000 72.492 55.590 
6.50000 73.041 55.967 
6.60000 73.590 56.345 
6.70000 74.138 56.722 
6.80000 74.685 57.099 
6.90000 75.454 57.624 
7.00000 76.249 58.168 
7.10000 77.045 58.712 
7.20000 77.842 59.258 
7.30000 78.640 59.803 
7.40000 79.438 60.350 
7.50000 80.237 60.897 
7.60000 81.036 61.444 
7.70000 81.835 61.991 
7.80000 82.634 62.538 
7.90000 83.434 63.086 
8.00000 84.232 63.633 
8.10000 85.031 64.181 
8.20000 85.829 64.728 
8.30000 86.627 65.275 
8.40000 87.424 65.821 
8.50000 88.220 66.367 
8.60000 89.015 66.913 
8.70000 89.809 67.458 
8.80000 90.603 68.002 
8.90000 91.395 68.545 
9.00000 92.186 69.088 
9.10000 92.976 69.630 
9.20000 93.764 70.172 
9.30000 94.551 70.712 
9.40000 95.336 71.251 
9.50000 96.120 71.789 
9.60000 96.902 72.326 
9.70000 97.682 72.862 
9.80000 98.460 73.397 
9.90000 99.237 73.930 
10.00000 100.011 74.462 
