# t[days] FUV NUV
0.50000 34.730 30.570 
0.60000 35.265 30.836 
0.70000 35.814 31.131 
0.80000 36.363 31.441 
0.90000 36.905 31.757 
1.00000 37.431 32.070 
1.10000 37.931 32.372 
1.20000 38.402 32.660 
1.30000 38.846 32.932 
1.40000 39.272 33.197 
1.50000 39.689 33.458 
1.60000 40.105 33.721 
1.70000 40.523 33.988 
1.80000 40.946 34.260 
1.90000 41.372 34.535 
2.00000 41.799 34.814 
2.10000 42.229 35.094 
2.20000 42.659 35.377 
2.30000 43.089 35.660 
2.40000 43.519 35.945 
2.50000 43.947 36.228 
2.60000 44.373 36.511 
2.70000 44.794 36.791 
2.80000 45.212 37.070 
2.90000 45.624 37.345 
3.00000 46.031 37.617 
3.10000 46.432 37.885 
3.20000 46.888 38.189 
3.30000 47.385 38.520 
3.40000 47.928 38.881 
3.50000 48.468 39.241 
3.60000 49.004 39.598 
3.70000 49.529 39.948 
3.80000 50.048 40.295 
3.90000 50.564 40.640 
4.00000 51.073 40.980 
4.10000 51.572 41.315 
4.20000 52.068 41.647 
4.30000 52.562 41.978 
4.40000 53.048 42.304 
4.50000 53.530 42.628 
4.60000 54.010 42.951 
4.70000 54.489 43.273 
4.80000 54.960 43.591 
4.90000 55.431 43.908 
5.00000 55.902 44.225 
5.10000 56.371 44.541 
5.20000 56.835 44.855 
5.30000 57.300 45.169 
5.40000 57.765 45.484 
5.50000 58.227 45.796 
5.60000 58.687 46.108 
5.70000 59.147 46.420 
5.80000 59.609 46.733 
5.90000 60.065 47.042 
6.00000 60.521 47.352 
6.10000 60.978 47.663 
6.20000 61.437 47.974 
6.30000 61.890 48.282 
6.40000 62.343 48.590 
6.50000 62.798 48.900 
6.60000 63.253 49.209 
6.70000 63.705 49.517 
6.80000 64.156 49.824 
6.90000 64.607 50.132 
7.00000 65.060 50.441 
7.10000 65.511 50.749 
7.20000 65.959 51.054 
7.30000 66.408 51.361 
7.40000 66.857 51.668 
7.50000 67.307 51.975 
7.60000 67.753 52.280 
7.70000 68.199 52.585 
7.80000 68.645 52.890 
7.90000 69.092 53.195 
8.00000 69.538 53.500 
8.10000 69.980 53.803 
8.20000 70.423 54.106 
8.30000 70.866 54.409 
8.40000 71.309 54.713 
8.50000 71.752 55.016 
8.60000 72.191 55.317 
8.70000 72.630 55.618 
8.80000 73.070 55.919 
8.90000 73.510 56.221 
9.00000 73.949 56.522 
9.10000 74.386 56.822 
9.20000 74.821 57.121 
9.30000 75.257 57.420 
9.40000 75.693 57.719 
9.50000 76.129 58.018 
9.60000 76.565 58.317 
9.70000 76.997 58.614 
9.80000 77.429 58.910 
9.90000 77.861 59.207 
10.00000 78.293 59.504 
