# t[days] FUV NUV
0.50000 35.391 30.837 
0.60000 36.106 31.218 
0.70000 36.828 31.624 
0.80000 37.540 32.036 
0.90000 38.222 32.439 
1.00000 38.867 32.824 
1.10000 39.478 33.193 
1.20000 40.068 33.554 
1.30000 40.647 33.911 
1.40000 41.221 34.270 
1.50000 41.791 34.629 
1.60000 42.354 34.987 
1.70000 42.911 35.343 
1.80000 43.461 35.696 
1.90000 44.003 36.046 
2.00000 44.537 36.392 
2.10000 45.061 36.734 
2.20000 45.575 37.070 
2.30000 46.092 37.408 
2.40000 46.668 37.786 
2.50000 47.248 38.167 
2.60000 47.819 38.542 
2.70000 48.378 38.911 
2.80000 48.927 39.274 
2.90000 49.464 39.629 
3.00000 49.990 39.977 
3.10000 50.504 40.318 
3.20000 51.006 40.651 
3.30000 51.498 40.978 
3.40000 51.981 41.299 
3.50000 52.457 41.616 
3.60000 52.928 41.930 
3.70000 53.395 42.242 
3.80000 53.859 42.552 
3.90000 54.321 42.862 
4.00000 54.783 43.171 
4.10000 55.245 43.481 
4.20000 55.707 43.792 
4.30000 56.170 44.103 
4.40000 56.634 44.416 
4.50000 57.099 44.729 
4.60000 57.564 45.043 
4.70000 58.031 45.358 
4.80000 58.498 45.674 
4.90000 58.965 45.991 
5.00000 59.434 46.308 
5.10000 59.904 46.627 
5.20000 60.375 46.946 
5.30000 60.846 47.266 
5.40000 61.319 47.587 
5.50000 61.792 47.909 
5.60000 62.267 48.232 
5.70000 62.742 48.556 
5.80000 63.218 48.880 
5.90000 63.696 49.205 
6.00000 64.174 49.532 
6.10000 64.652 49.858 
6.20000 65.132 50.186 
6.30000 65.613 50.514 
6.40000 66.094 50.843 
6.50000 66.577 51.172 
6.60000 67.060 51.503 
6.70000 67.544 51.834 
6.80000 68.029 52.165 
6.90000 68.514 52.497 
7.00000 69.000 52.830 
7.10000 69.486 53.163 
7.20000 69.973 53.497 
7.30000 70.459 53.830 
7.40000 70.946 54.164 
7.50000 71.433 54.498 
7.60000 71.920 54.832 
7.70000 72.407 55.166 
7.80000 72.893 55.500 
7.90000 73.380 55.833 
8.00000 73.866 56.167 
8.10000 74.351 56.500 
8.20000 74.837 56.834 
8.30000 75.321 57.167 
8.40000 75.805 57.499 
8.50000 76.289 57.831 
8.60000 76.771 58.163 
8.70000 77.254 58.495 
8.80000 77.735 58.826 
8.90000 78.216 59.156 
9.00000 78.695 59.486 
9.10000 79.174 59.815 
9.20000 79.652 60.144 
9.30000 80.128 60.472 
9.40000 80.605 60.800 
9.50000 81.217 61.219 
9.60000 81.862 61.661 
9.70000 82.507 62.103 
9.80000 83.153 62.546 
9.90000 83.800 62.989 
10.00000 84.447 63.432 
