# t[days] FUV NUV
0.50000 38.997 33.433 
0.60000 39.516 33.676 
0.70000 40.109 33.987 
0.80000 40.704 34.315 
0.90000 41.275 34.636 
1.00000 41.818 34.945 
1.10000 42.335 35.245 
1.20000 42.831 35.534 
1.30000 43.306 35.815 
1.40000 43.765 36.088 
1.50000 44.210 36.354 
1.60000 44.642 36.615 
1.70000 45.063 36.871 
1.80000 45.474 37.122 
1.90000 45.876 37.370 
2.00000 46.271 37.614 
2.10000 46.659 37.856 
2.20000 47.042 38.094 
2.30000 47.418 38.330 
2.40000 47.788 38.564 
2.50000 48.155 38.796 
2.60000 48.517 39.026 
2.70000 48.874 39.254 
2.80000 49.227 39.479 
2.90000 49.575 39.703 
3.00000 49.919 39.924 
3.10000 50.259 40.143 
3.20000 50.594 40.359 
3.30000 50.924 40.573 
3.40000 51.251 40.785 
3.50000 51.574 40.995 
3.60000 51.893 41.203 
3.70000 52.208 41.408 
3.80000 52.519 41.611 
3.90000 52.826 41.812 
4.00000 53.129 42.011 
4.10000 53.429 42.208 
4.20000 53.725 42.403 
4.30000 54.018 42.596 
4.40000 54.307 42.786 
4.50000 54.594 42.975 
4.60000 54.877 43.162 
4.70000 55.158 43.348 
4.80000 55.436 43.532 
4.90000 55.713 43.716 
5.00000 55.989 43.898 
5.10000 56.263 44.080 
5.20000 56.536 44.262 
5.30000 56.808 44.443 
5.40000 57.080 44.624 
5.50000 57.351 44.805 
5.60000 57.622 44.986 
5.70000 57.893 45.168 
5.80000 58.165 45.349 
5.90000 58.436 45.531 
6.00000 58.707 45.713 
6.10000 58.979 45.895 
6.20000 59.250 46.077 
6.30000 59.521 46.259 
6.40000 59.792 46.441 
6.50000 60.062 46.623 
6.60000 60.332 46.805 
6.70000 60.601 46.987 
6.80000 60.870 47.168 
6.90000 61.138 47.349 
7.00000 61.405 47.529 
7.10000 61.672 47.709 
7.20000 61.937 47.889 
7.30000 62.202 48.068 
7.40000 62.466 48.246 
7.50000 62.729 48.424 
7.60000 62.991 48.602 
7.70000 63.252 48.778 
7.80000 63.513 48.955 
7.90000 63.773 49.131 
8.00000 64.032 49.307 
8.10000 64.291 49.482 
8.20000 64.549 49.658 
8.30000 64.807 49.833 
8.40000 65.065 50.008 
8.50000 65.323 50.183 
8.60000 65.580 50.358 
8.70000 65.838 50.533 
8.80000 66.096 50.708 
8.90000 66.353 50.883 
9.00000 66.611 51.058 
9.10000 66.868 51.234 
9.20000 67.126 51.410 
9.30000 67.385 51.585 
9.40000 67.643 51.762 
9.50000 67.902 51.938 
9.60000 68.161 52.115 
9.70000 68.421 52.292 
9.80000 68.681 52.469 
9.90000 68.941 52.647 
10.00000 69.203 52.826 
