# t[days] FUV NUV
0.50000 30.773 27.863 
0.60000 31.098 27.975 
0.70000 31.462 28.134 
0.80000 31.856 28.328 
0.90000 32.262 28.542 
1.00000 32.669 28.765 
1.10000 33.072 28.992 
1.20000 33.471 29.223 
1.30000 33.866 29.455 
1.40000 34.257 29.689 
1.50000 34.645 29.924 
1.60000 35.031 30.161 
1.70000 35.418 30.401 
1.80000 35.806 30.644 
1.90000 36.196 30.891 
2.00000 36.590 31.142 
2.10000 36.986 31.397 
2.20000 37.383 31.653 
2.30000 37.781 31.911 
2.40000 38.179 32.170 
2.50000 38.574 32.429 
2.60000 38.968 32.687 
2.70000 39.360 32.945 
2.80000 39.750 33.202 
2.90000 40.137 33.458 
3.00000 40.555 33.734 
3.10000 41.032 34.048 
3.20000 41.530 34.377 
3.30000 42.029 34.706 
3.40000 42.529 35.037 
3.50000 43.028 35.368 
3.60000 43.529 35.701 
3.70000 44.030 36.035 
3.80000 44.532 36.369 
3.90000 45.034 36.705 
4.00000 45.536 37.040 
4.10000 46.039 37.377 
4.20000 46.540 37.713 
4.30000 47.041 38.049 
4.40000 47.542 38.386 
4.50000 48.042 38.722 
4.60000 48.541 39.058 
4.70000 49.039 39.393 
4.80000 49.536 39.729 
4.90000 50.032 40.063 
5.00000 50.527 40.397 
5.10000 51.021 40.731 
5.20000 51.512 41.064 
5.30000 52.004 41.396 
5.40000 52.492 41.727 
5.50000 52.980 42.058 
5.60000 53.466 42.387 
5.70000 53.950 42.715 
5.80000 54.432 43.043 
5.90000 54.913 43.369 
6.00000 55.392 43.695 
6.10000 55.936 44.064 
6.20000 56.511 44.453 
6.30000 57.087 44.843 
6.40000 57.664 45.234 
6.50000 58.241 45.625 
6.60000 58.819 46.017 
6.70000 59.397 46.409 
6.80000 59.975 46.801 
6.90000 60.554 47.194 
7.00000 61.133 47.588 
7.10000 61.712 47.981 
7.20000 62.291 48.375 
7.30000 62.870 48.769 
7.40000 63.449 49.162 
7.50000 64.029 49.556 
7.60000 64.607 49.950 
7.70000 65.186 50.344 
7.80000 65.765 50.738 
7.90000 66.343 51.132 
8.00000 66.921 51.526 
8.10000 67.498 51.919 
8.20000 68.076 52.313 
8.30000 68.652 52.706 
8.40000 69.228 53.099 
8.50000 69.804 53.491 
8.60000 70.379 53.884 
8.70000 70.953 54.275 
8.80000 71.527 54.667 
8.90000 72.100 55.058 
9.00000 72.672 55.449 
9.10000 73.243 55.839 
9.20000 73.814 56.229 
9.30000 74.384 56.618 
9.40000 74.953 57.007 
9.50000 75.521 57.395 
9.60000 76.088 57.783 
9.70000 76.654 58.170 
9.80000 77.220 58.556 
9.90000 77.784 58.942 
10.00000 78.347 59.327 
