# t[days] FUV NUV
0.50000 32.552 28.714 
0.60000 32.008 28.220 
0.70000 31.802 27.979 
0.80000 31.854 27.933 
0.90000 32.057 28.002 
1.00000 32.311 28.117 
1.10000 32.561 28.234 
1.20000 32.788 28.343 
1.30000 33.009 28.451 
1.40000 33.237 28.569 
1.50000 33.481 28.702 
1.60000 33.745 28.852 
1.70000 33.446 28.662 
1.80000 33.163 28.486 
1.90000 33.030 28.405 
2.00000 32.995 28.386 
2.10000 33.030 28.412 
2.20000 33.118 28.473 
2.30000 33.247 28.561 
2.40000 33.410 28.671 
2.50000 33.601 28.799 
2.60000 33.814 28.943 
2.70000 34.047 29.100 
2.80000 34.297 29.268 
2.90000 34.561 29.445 
3.00000 34.837 29.632 
3.10000 35.125 29.826 
3.20000 35.421 30.026 
3.30000 35.726 30.232 
3.40000 36.038 30.443 
3.50000 36.356 30.658 
3.60000 36.680 30.877 
3.70000 37.008 31.100 
3.80000 37.340 31.324 
3.90000 37.676 31.552 
4.00000 38.014 31.781 
4.10000 38.354 32.012 
4.20000 38.696 32.244 
4.30000 39.038 32.477 
4.40000 39.382 32.711 
4.50000 39.725 32.944 
4.60000 40.068 33.177 
4.70000 40.410 33.410 
4.80000 40.754 33.644 
4.90000 41.244 33.971 
5.00000 41.734 34.298 
5.10000 42.224 34.626 
5.20000 42.715 34.955 
5.30000 43.205 35.283 
5.40000 43.695 35.611 
5.50000 44.184 35.940 
5.60000 44.672 36.267 
5.70000 45.160 36.595 
5.80000 45.646 36.922 
5.90000 46.132 37.248 
6.00000 46.616 37.574 
6.10000 47.098 37.899 
6.20000 47.579 38.223 
6.30000 48.059 38.546 
6.40000 48.537 38.868 
6.50000 49.013 39.189 
6.60000 49.488 39.509 
6.70000 49.961 39.828 
6.80000 50.433 40.147 
6.90000 50.903 40.464 
7.00000 51.371 40.780 
7.10000 51.838 41.096 
7.20000 52.304 41.410 
7.30000 52.767 41.724 
7.40000 53.229 42.036 
7.50000 53.690 42.348 
7.60000 54.149 42.658 
7.70000 54.606 42.968 
7.80000 55.062 43.276 
7.90000 55.517 43.584 
8.00000 55.970 43.891 
8.10000 56.421 44.197 
8.20000 56.871 44.502 
8.30000 57.320 44.806 
8.40000 57.768 45.110 
8.50000 58.214 45.412 
8.60000 58.659 45.714 
8.70000 59.103 46.015 
8.80000 59.546 46.316 
8.90000 59.987 46.615 
9.00000 60.427 46.914 
9.10000 60.867 47.212 
9.20000 61.305 47.510 
9.30000 61.742 47.807 
9.40000 62.178 48.103 
9.50000 62.613 48.399 
9.60000 63.047 48.694 
9.70000 63.480 48.988 
9.80000 63.912 49.282 
9.90000 64.344 49.575 
10.00000 64.774 49.868 
