# t[days] FUV NUV
0.50000 47.102 39.363 
0.60000 48.098 39.937 
0.70000 49.011 40.473 
0.80000 49.831 40.958 
0.90000 50.575 41.401 
1.00000 51.290 41.833 
1.10000 52.004 42.270 
1.20000 52.735 42.725 
1.30000 53.490 43.202 
1.40000 54.272 43.701 
1.50000 55.081 44.223 
1.60000 55.918 44.768 
1.70000 56.775 45.330 
1.80000 57.631 45.893 
1.90000 58.470 46.446 
2.00000 59.277 46.979 
2.10000 60.043 47.485 
2.20000 60.759 47.959 
2.30000 61.429 48.401 
2.40000 62.065 48.822 
2.50000 62.681 49.229 
2.60000 63.286 49.630 
2.70000 63.888 50.030 
2.80000 64.495 50.435 
2.90000 65.112 50.847 
3.00000 65.745 51.271 
3.10000 66.392 51.706 
3.20000 67.052 52.151 
3.30000 67.724 52.604 
3.40000 68.407 53.065 
3.50000 69.098 53.533 
3.60000 69.798 54.007 
3.70000 70.505 54.487 
3.80000 71.218 54.972 
3.90000 71.937 55.461 
4.00000 72.662 55.954 
4.10000 73.391 56.451 
4.20000 74.125 56.952 
4.30000 74.863 57.456 
4.40000 75.606 57.963 
4.50000 76.353 58.474 
4.60000 77.104 58.987 
4.70000 77.859 59.504 
4.80000 78.618 60.024 
4.90000 79.381 60.546 
5.00000 80.147 61.071 
5.10000 80.916 61.599 
5.20000 79.532 60.674 
5.30000 78.262 59.827 
5.40000 79.235 60.492 
5.50000 80.214 61.161 
5.60000 81.200 61.834 
5.70000 82.191 62.512 
5.80000 83.188 63.194 
5.90000 84.190 63.880 
6.00000 85.196 64.569 
6.10000 86.207 65.261 
6.20000 87.222 65.957 
6.30000 88.241 66.655 
6.40000 89.263 67.355 
6.50000 90.288 68.058 
6.60000 91.316 68.763 
6.70000 92.346 69.470 
6.80000 93.379 70.179 
6.90000 94.414 70.889 
7.00000 95.451 71.601 
7.10000 96.489 72.314 
7.20000 97.529 73.028 
7.30000 98.570 73.743 
7.40000 99.612 74.459 
7.50000 100.655 75.175 
7.60000 101.699 75.893 
7.70000 102.743 76.610 
7.80000 103.787 77.328 
7.90000 104.832 78.047 
8.00000 105.876 78.765 
8.10000 106.920 79.483 
8.20000 107.964 80.201 
8.30000 109.008 80.919 
8.40000 110.051 81.637 
8.50000 111.093 82.354 
8.60000 112.134 83.071 
8.70000 113.175 83.787 
8.80000 114.214 84.502 
8.90000 115.252 85.216 
9.00000 116.288 85.930 
9.10000 117.323 86.643 
9.20000 118.356 87.354 
9.30000 119.388 88.065 
9.40000 120.417 88.774 
9.50000 121.445 89.482 
9.60000 122.471 90.188 
9.70000 123.494 90.893 
9.80000 124.515 91.597 
9.90000 125.534 92.299 
10.00000 126.550 92.999 
