# t[days] FUV NUV
0.50000 37.751 32.261 
0.60000 38.898 32.943 
0.70000 39.980 33.598 
0.80000 41.063 34.269 
0.90000 42.195 34.986 
1.00000 43.411 35.768 
1.10000 44.727 36.629 
1.20000 46.132 37.556 
1.30000 47.153 38.242 
1.40000 47.956 38.791 
1.50000 49.183 39.618 
1.60000 50.912 40.778 
1.70000 52.685 41.972 
1.80000 54.497 43.195 
1.90000 56.341 44.442 
2.00000 58.210 45.708 
2.10000 60.098 46.989 
2.20000 61.999 48.281 
2.30000 63.908 49.580 
2.40000 65.821 50.882 
2.50000 67.735 52.187 
2.60000 69.647 53.491 
2.70000 71.555 54.794 
2.80000 73.459 56.093 
2.90000 75.355 57.390 
3.00000 77.243 58.681 
3.10000 79.122 59.966 
3.20000 80.990 61.245 
3.30000 82.849 62.517 
3.40000 84.697 63.783 
3.50000 86.536 65.043 
3.60000 88.364 66.296 
3.70000 90.182 67.543 
3.80000 91.989 68.782 
3.90000 93.787 70.016 
4.00000 95.574 71.242 
4.10000 97.351 72.462 
4.20000 99.120 73.677 
4.30000 100.879 74.885 
4.40000 102.629 76.087 
4.50000 104.371 77.284 
4.60000 106.104 78.475 
4.70000 107.829 79.661 
4.80000 109.546 80.842 
4.90000 111.256 82.017 
5.00000 112.958 83.188 
5.10000 114.653 84.354 
5.20000 116.341 85.516 
5.30000 118.022 86.673 
5.40000 119.697 87.825 
5.50000 121.365 88.974 
5.60000 123.028 90.118 
5.70000 124.684 91.258 
5.80000 126.334 92.395 
5.90000 127.979 93.528 
6.00000 129.618 94.657 
6.10000 131.252 95.783 
6.20000 132.880 96.905 
6.30000 134.504 98.024 
6.40000 136.122 99.139 
6.50000 137.736 100.252 
6.60000 139.345 101.361 
6.70000 140.949 102.467 
6.80000 142.549 103.570 
6.90000 144.144 104.670 
7.00000 145.735 105.767 
7.10000 147.322 106.861 
7.20000 148.904 107.953 
7.30000 150.482 109.042 
7.40000 152.057 110.128 
7.50000 153.627 111.212 
7.60000 155.194 112.293 
7.70000 156.757 113.372 
7.80000 158.316 114.448 
7.90000 159.872 115.522 
8.00000 161.424 116.593 
8.10000 162.973 117.662 
8.20000 164.518 118.729 
8.30000 166.060 119.794 
8.40000 167.598 120.856 
8.50000 169.134 121.916 
8.60000 170.666 122.974 
8.70000 172.195 124.030 
8.80000 173.720 125.084 
8.90000 175.243 126.136 
9.00000 176.763 127.186 
9.10000 178.280 128.234 
9.20000 179.794 129.279 
9.30000 181.305 130.323 
9.40000 182.813 131.366 
9.50000 184.318 132.406 
9.60000 185.821 133.444 
9.70000 187.321 134.481 
9.80000 188.818 135.516 
9.90000 190.313 136.549 
10.00000 191.805 137.580 
