# t[days] FUV NUV
0.50000 29.971 26.673 
0.60000 30.301 26.795 
0.70000 30.623 26.931 
0.80000 30.947 27.082 
0.90000 31.278 27.250 
1.00000 31.622 27.435 
1.10000 31.972 27.631 
1.20000 32.324 27.835 
1.30000 32.675 28.042 
1.40000 33.023 28.251 
1.50000 33.367 28.460 
1.60000 33.705 28.668 
1.70000 34.036 28.874 
1.80000 34.361 29.077 
1.90000 34.678 29.276 
2.00000 34.990 29.474 
2.10000 35.301 29.671 
2.20000 35.614 29.871 
2.30000 35.929 30.075 
2.40000 36.250 30.283 
2.50000 36.578 30.496 
2.60000 36.913 30.715 
2.70000 37.255 30.941 
2.80000 37.604 31.171 
2.90000 37.959 31.406 
3.00000 38.320 31.646 
3.10000 38.685 31.889 
3.20000 39.055 32.136 
3.30000 39.429 32.386 
3.40000 39.806 32.638 
3.50000 40.187 32.894 
3.60000 40.571 33.152 
3.70000 40.958 33.412 
3.80000 41.347 33.675 
3.90000 41.738 33.938 
4.00000 42.131 34.204 
4.10000 42.526 34.471 
4.20000 42.922 34.739 
4.30000 43.319 35.008 
4.40000 43.717 35.277 
4.50000 44.104 35.540 
4.60000 44.468 35.789 
4.70000 44.820 36.029 
4.80000 45.383 36.407 
4.90000 45.949 36.787 
5.00000 46.517 37.168 
5.10000 47.087 37.552 
5.20000 47.659 37.937 
5.30000 48.233 38.324 
5.40000 48.808 38.712 
5.50000 49.385 39.101 
5.60000 49.962 39.490 
5.70000 50.541 39.881 
5.80000 51.120 40.273 
5.90000 51.699 40.664 
6.00000 52.279 41.057 
6.10000 52.859 41.449 
6.20000 53.440 41.842 
6.30000 54.020 42.235 
6.40000 54.600 42.629 
6.50000 55.180 43.022 
6.60000 55.759 43.415 
6.70000 56.339 43.808 
6.80000 56.917 44.200 
6.90000 57.495 44.593 
7.00000 58.073 44.985 
7.10000 58.649 45.377 
7.20000 59.225 45.768 
7.30000 59.800 46.159 
7.40000 60.374 46.549 
7.50000 60.947 46.939 
7.60000 61.518 47.328 
7.70000 62.089 47.716 
7.80000 62.658 48.104 
7.90000 63.227 48.490 
8.00000 63.794 48.877 
8.10000 64.360 49.262 
8.20000 64.924 49.647 
8.30000 65.488 50.031 
8.40000 66.050 50.414 
8.50000 66.611 50.797 
8.60000 67.171 51.178 
8.70000 67.730 51.559 
8.80000 68.287 51.940 
8.90000 68.844 52.319 
9.00000 69.399 52.698 
9.10000 69.953 53.076 
9.20000 70.505 53.453 
9.30000 71.057 53.830 
9.40000 71.607 54.205 
9.50000 72.156 54.580 
9.60000 72.704 54.955 
9.70000 73.251 55.328 
9.80000 73.796 55.701 
9.90000 74.340 56.072 
10.00000 74.883 56.443 
