# t[days] FUV NUV
0.50000 39.097 33.105 
0.60000 39.958 33.590 
0.70000 40.783 34.070 
0.80000 41.422 34.435 
0.90000 42.021 34.782 
1.00000 42.683 35.184 
1.10000 43.457 35.669 
1.20000 44.327 36.228 
1.30000 45.276 36.846 
1.40000 44.684 36.474 
1.50000 44.265 36.219 
1.60000 44.278 36.245 
1.70000 44.521 36.422 
1.80000 45.547 37.107 
1.90000 46.789 37.935 
2.00000 48.065 38.789 
2.10000 49.370 39.665 
2.20000 50.700 40.559 
2.30000 52.051 41.470 
2.40000 53.419 42.393 
2.50000 54.801 43.327 
2.60000 56.193 44.270 
2.70000 57.594 45.219 
2.80000 58.999 46.173 
2.90000 60.408 47.130 
3.00000 61.820 48.090 
3.10000 63.232 49.050 
3.20000 64.644 50.012 
3.30000 66.055 50.973 
3.40000 67.463 51.932 
3.50000 68.868 52.891 
3.60000 70.268 53.846 
3.70000 71.664 54.799 
3.80000 73.054 55.748 
3.90000 74.439 56.695 
4.00000 75.819 57.638 
4.10000 77.193 58.578 
4.20000 78.562 59.514 
4.30000 79.925 60.446 
4.40000 81.282 61.375 
4.50000 82.633 62.300 
4.60000 83.978 63.221 
4.70000 85.317 64.139 
4.80000 86.650 65.052 
4.90000 87.978 65.962 
5.00000 89.300 66.869 
5.10000 90.617 67.771 
5.20000 91.928 68.671 
5.30000 93.234 69.567 
5.40000 94.535 70.459 
5.50000 95.830 71.348 
5.60000 97.121 72.234 
5.70000 98.407 73.117 
5.80000 99.688 73.997 
5.90000 100.965 74.874 
6.00000 102.237 75.747 
6.10000 103.504 76.618 
6.20000 104.767 77.486 
6.30000 106.026 78.351 
6.40000 107.281 79.214 
6.50000 108.532 80.074 
6.60000 109.779 80.931 
6.70000 111.022 81.786 
6.80000 112.261 82.638 
6.90000 113.496 83.488 
7.00000 114.728 84.335 
7.10000 115.957 85.181 
7.20000 117.182 86.024 
7.30000 118.403 86.864 
7.40000 119.621 87.703 
7.50000 120.837 88.539 
7.60000 122.048 89.373 
7.70000 123.257 90.206 
7.80000 124.463 91.036 
7.90000 125.666 91.864 
8.00000 126.866 92.691 
8.10000 128.063 93.515 
8.20000 129.257 94.338 
8.30000 130.448 95.158 
8.40000 131.637 95.977 
8.50000 132.823 96.795 
8.60000 134.006 97.610 
8.70000 135.187 98.424 
8.80000 136.365 99.236 
8.90000 137.541 100.047 
9.00000 138.714 100.855 
9.10000 139.885 101.663 
9.20000 141.054 102.468 
9.30000 142.220 103.272 
9.40000 143.384 104.075 
9.50000 144.546 104.876 
9.60000 145.705 105.676 
9.70000 146.863 106.474 
9.80000 148.018 107.271 
9.90000 149.171 108.067 
10.00000 150.322 108.861 
