# t[days] FUV NUV
0.50000 29.869 26.753 
0.60000 29.916 26.666 
0.70000 30.078 26.678 
0.80000 30.317 26.756 
0.90000 30.611 26.883 
1.00000 30.949 27.050 
1.10000 31.327 27.251 
1.20000 31.736 27.479 
1.30000 32.161 27.724 
1.40000 32.598 27.981 
1.50000 33.040 28.245 
1.60000 33.479 28.510 
1.70000 33.915 28.775 
1.80000 34.354 29.045 
1.90000 34.799 29.322 
2.00000 35.254 29.608 
2.10000 35.722 29.904 
2.20000 36.204 30.211 
2.30000 36.699 30.529 
2.40000 37.206 30.857 
2.50000 37.724 31.193 
2.60000 38.251 31.537 
2.70000 38.787 31.889 
2.80000 39.331 32.247 
2.90000 39.882 32.610 
3.00000 40.440 32.980 
3.10000 41.004 33.354 
3.20000 41.573 33.732 
3.30000 42.147 34.115 
3.40000 42.725 34.501 
3.50000 43.307 34.890 
3.60000 43.892 35.283 
3.70000 44.481 35.678 
3.80000 45.072 36.075 
3.90000 45.665 36.475 
4.00000 46.259 36.875 
4.10000 46.855 37.277 
4.20000 47.513 37.720 
4.30000 48.206 38.187 
4.40000 48.904 38.657 
4.50000 49.605 39.130 
4.60000 50.309 39.605 
4.70000 51.017 40.083 
4.80000 51.727 40.563 
4.90000 52.439 41.045 
5.00000 53.154 41.529 
5.10000 53.870 42.014 
5.20000 54.587 42.500 
5.30000 55.306 42.988 
5.40000 56.025 43.476 
5.50000 56.745 43.964 
5.60000 57.466 44.454 
5.70000 58.186 44.943 
5.80000 58.907 45.433 
5.90000 59.627 45.923 
6.00000 60.347 46.413 
6.10000 61.066 46.902 
6.20000 61.785 47.391 
6.30000 62.503 47.880 
6.40000 63.220 48.368 
6.50000 63.936 48.856 
6.60000 64.651 49.344 
6.70000 65.365 49.830 
6.80000 66.078 50.316 
6.90000 66.789 50.802 
7.00000 67.499 51.286 
7.10000 68.207 51.769 
7.20000 68.914 52.252 
7.30000 69.619 52.733 
7.40000 70.323 53.214 
7.50000 71.025 53.693 
7.60000 71.725 54.171 
7.70000 72.424 54.649 
7.80000 73.120 55.125 
7.90000 73.816 55.600 
8.00000 74.509 56.074 
8.10000 75.201 56.547 
8.20000 75.891 57.019 
8.30000 76.580 57.490 
8.40000 77.266 57.960 
8.50000 77.952 58.429 
8.60000 78.635 58.897 
8.70000 79.317 59.363 
8.80000 79.997 59.829 
8.90000 80.676 60.294 
9.00000 81.353 60.757 
9.10000 82.028 61.220 
9.20000 82.702 61.681 
9.30000 83.374 62.142 
9.40000 84.044 62.601 
9.50000 84.713 63.059 
9.60000 85.381 63.517 
9.70000 86.046 63.973 
9.80000 86.711 64.428 
9.90000 87.373 64.882 
10.00000 88.034 65.335 
