# t[days] FUV NUV
0.50000 37.753 32.575 
0.60000 38.256 32.840 
0.70000 38.723 33.098 
0.80000 39.222 33.391 
0.90000 39.834 33.772 
1.00000 40.595 34.262 
1.10000 41.479 34.843 
1.20000 41.928 35.156 
1.30000 39.853 33.880 
1.40000 39.570 33.739 
1.50000 40.616 34.432 
1.60000 41.858 35.254 
1.70000 43.130 36.099 
1.80000 44.427 36.963 
1.90000 45.742 37.842 
2.00000 47.069 38.731 
2.10000 48.403 39.627 
2.20000 49.740 40.526 
2.30000 51.075 41.426 
2.40000 52.406 42.324 
2.50000 53.732 43.219 
2.60000 55.050 44.110 
2.70000 56.362 44.998 
2.80000 57.666 45.880 
2.90000 58.960 46.758 
3.00000 60.246 47.630 
3.10000 61.523 48.497 
3.20000 62.791 49.358 
3.30000 64.051 50.214 
3.40000 65.303 51.065 
3.50000 66.546 51.911 
3.60000 67.782 52.752 
3.70000 69.010 53.588 
3.80000 70.232 54.420 
3.90000 71.446 55.248 
4.00000 72.653 56.071 
4.10000 73.854 56.890 
4.20000 75.049 57.706 
4.30000 76.239 58.517 
4.40000 77.422 59.326 
4.50000 78.600 60.130 
4.60000 79.773 60.932 
4.70000 80.941 61.730 
4.80000 82.104 62.525 
4.90000 83.263 63.317 
5.00000 84.417 64.107 
5.10000 85.566 64.893 
5.20000 86.712 65.677 
5.30000 87.853 66.459 
5.40000 88.990 67.237 
5.50000 90.123 68.014 
5.60000 91.253 68.788 
5.70000 92.379 69.559 
5.80000 93.502 70.329 
5.90000 94.621 71.096 
6.00000 95.737 71.861 
6.10000 96.849 72.624 
6.20000 97.958 73.385 
6.30000 99.065 74.144 
6.40000 100.168 74.901 
6.50000 101.268 75.656 
6.60000 102.365 76.409 
6.70000 103.459 77.160 
6.80000 104.551 77.910 
6.90000 105.640 78.658 
7.00000 106.726 79.404 
7.10000 107.809 80.148 
7.20000 108.890 80.891 
7.30000 109.969 81.632 
7.40000 111.045 82.371 
7.50000 112.118 83.109 
7.60000 113.189 83.846 
7.70000 114.258 84.581 
7.80000 115.324 85.314 
7.90000 116.389 86.046 
8.00000 117.450 86.776 
8.10000 118.510 87.505 
8.20000 119.568 88.233 
8.30000 120.623 88.959 
8.40000 121.677 89.684 
8.50000 122.728 90.407 
8.60000 123.777 91.129 
8.70000 124.824 91.850 
8.80000 125.870 92.570 
8.90000 126.913 93.288 
9.00000 127.954 94.005 
9.10000 128.994 94.721 
9.20000 130.032 95.436 
9.30000 131.067 96.149 
9.40000 132.102 96.862 
9.50000 133.134 97.573 
9.60000 134.164 98.283 
9.70000 135.193 98.992 
9.80000 136.220 99.699 
9.90000 137.246 100.406 
10.00000 138.270 101.112 
