# t[days] FUV NUV
0.50000 37.965 31.585 
0.60000 38.535 31.863 
0.70000 39.136 32.180 
0.80000 39.638 32.443 
0.90000 39.988 32.610 
1.00000 40.209 32.696 
1.10000 40.373 32.750 
1.20000 40.528 32.802 
1.30000 40.704 32.874 
1.40000 40.918 32.976 
1.50000 41.180 33.115 
1.60000 41.486 33.289 
1.70000 41.826 33.488 
1.80000 42.193 33.709 
1.90000 42.580 33.946 
2.00000 42.982 34.195 
2.10000 43.396 34.455 
2.20000 43.817 34.720 
2.30000 44.237 34.987 
2.40000 44.653 35.252 
2.50000 45.060 35.512 
2.60000 45.455 35.765 
2.70000 45.836 36.009 
2.80000 46.200 36.242 
2.90000 46.546 36.464 
3.00000 46.875 36.675 
3.10000 47.192 36.878 
3.20000 47.501 37.076 
3.30000 47.804 37.271 
3.40000 48.105 37.465 
3.50000 48.406 37.659 
3.60000 48.710 37.857 
3.70000 49.018 38.057 
3.80000 49.332 38.263 
3.90000 49.653 38.474 
4.00000 49.984 38.691 
4.10000 50.323 38.915 
4.20000 50.670 39.146 
4.30000 50.990 39.358 
4.40000 51.113 39.441 
4.50000 51.234 39.524 
4.60000 51.374 39.619 
4.70000 51.531 39.726 
4.80000 51.704 39.843 
4.90000 51.890 39.970 
5.00000 52.089 40.106 
5.10000 52.300 40.249 
5.20000 52.521 40.401 
5.30000 52.752 40.558 
5.40000 52.993 40.723 
5.50000 53.242 40.893 
5.60000 53.499 41.068 
5.70000 53.763 41.249 
5.80000 54.035 41.435 
5.90000 54.312 41.624 
6.00000 54.596 41.819 
6.10000 54.886 42.017 
6.20000 55.181 42.219 
6.30000 55.480 42.424 
6.40000 55.785 42.633 
6.50000 56.094 42.845 
6.60000 56.408 43.059 
6.70000 56.725 43.277 
6.80000 57.046 43.497 
6.90000 57.371 43.720 
7.00000 57.700 43.945 
7.10000 58.031 44.173 
7.20000 58.366 44.403 
7.30000 58.704 44.635 
7.40000 59.044 44.868 
7.50000 59.387 45.104 
7.60000 59.732 45.341 
7.70000 60.080 45.579 
7.80000 60.429 45.819 
7.90000 60.780 46.060 
8.00000 61.132 46.303 
8.10000 61.486 46.546 
8.20000 61.842 46.790 
8.30000 62.227 47.055 
8.40000 62.774 47.427 
8.50000 63.323 47.801 
8.60000 63.873 48.176 
8.70000 64.425 48.553 
8.80000 64.979 48.930 
8.90000 65.534 49.309 
9.00000 66.090 49.688 
9.10000 66.647 50.068 
9.20000 67.206 50.450 
9.30000 67.765 50.832 
9.40000 68.326 51.215 
9.50000 68.887 51.598 
9.60000 69.450 51.983 
9.70000 70.013 52.367 
9.80000 70.576 52.753 
9.90000 71.141 53.139 
10.00000 71.706 53.525 
