# t[days] FUV NUV
0.50000 28.422 25.965 
0.60000 28.830 26.154 
0.70000 29.234 26.361 
0.80000 29.630 26.575 
0.90000 30.021 26.797 
1.00000 30.414 27.026 
1.10000 30.817 27.269 
1.20000 31.234 27.525 
1.30000 31.664 27.795 
1.40000 32.104 28.074 
1.50000 32.550 28.360 
1.60000 32.999 28.650 
1.70000 33.449 28.942 
1.80000 33.898 29.236 
1.90000 34.344 29.528 
2.00000 34.786 29.819 
2.10000 35.240 30.117 
2.20000 35.835 30.503 
2.30000 36.426 30.888 
2.40000 37.013 31.271 
2.50000 37.595 31.652 
2.60000 38.172 32.029 
2.70000 38.740 32.402 
2.80000 39.300 32.770 
2.90000 39.854 33.134 
3.00000 40.396 33.491 
3.10000 40.929 33.843 
3.20000 41.457 34.192 
3.30000 41.981 34.539 
3.40000 42.502 34.883 
3.50000 43.011 35.221 
3.60000 43.518 35.558 
3.70000 44.023 35.894 
3.80000 44.527 36.230 
3.90000 45.023 36.560 
4.00000 45.516 36.889 
4.10000 46.009 37.219 
4.20000 46.501 37.548 
4.30000 46.989 37.875 
4.40000 47.473 38.199 
4.50000 47.958 38.525 
4.60000 48.443 38.850 
4.70000 48.925 39.174 
4.80000 49.403 39.496 
4.90000 49.881 39.818 
5.00000 50.361 40.141 
5.10000 50.839 40.464 
5.20000 51.312 40.784 
5.30000 51.786 41.104 
5.40000 52.262 41.425 
5.50000 52.737 41.747 
5.60000 53.207 42.065 
5.70000 53.677 42.383 
5.80000 54.148 42.703 
5.90000 54.619 43.022 
6.00000 55.087 43.339 
6.10000 55.552 43.655 
6.20000 56.018 43.972 
6.30000 56.485 44.289 
6.40000 56.950 44.605 
6.50000 57.411 44.918 
6.60000 57.871 45.232 
6.70000 58.332 45.546 
6.80000 58.793 45.860 
6.90000 59.250 46.171 
7.00000 59.705 46.481 
7.10000 60.160 46.791 
7.20000 60.614 47.101 
7.30000 61.068 47.411 
7.40000 61.517 47.717 
7.50000 61.965 48.023 
7.60000 62.412 48.328 
7.70000 62.858 48.633 
7.80000 63.304 48.937 
7.90000 63.745 49.238 
8.00000 64.184 49.538 
8.10000 64.622 49.838 
8.20000 65.059 50.137 
8.30000 65.495 50.435 
8.40000 65.992 50.774 
8.50000 66.535 51.144 
8.60000 67.077 51.513 
8.70000 67.619 51.883 
8.80000 68.161 52.252 
8.90000 68.702 52.621 
9.00000 69.243 52.990 
9.10000 69.784 53.359 
9.20000 70.324 53.728 
9.30000 70.864 54.096 
9.40000 71.404 54.464 
9.50000 71.942 54.832 
9.60000 72.481 55.200 
9.70000 73.018 55.567 
9.80000 73.555 55.934 
9.90000 74.092 56.300 
10.00000 74.627 56.666 
