# t[days] FUV NUV
0.50000 41.368 34.806 
0.60000 42.123 35.212 
0.70000 42.827 35.602 
0.80000 43.404 35.918 
0.90000 43.832 36.141 
1.00000 44.162 36.305 
1.10000 44.458 36.451 
1.20000 44.756 36.605 
1.30000 45.079 36.780 
1.40000 45.439 36.986 
1.50000 45.833 37.219 
1.60000 46.255 37.474 
1.70000 46.702 37.750 
1.80000 47.170 38.042 
1.90000 47.656 38.350 
2.00000 48.157 38.670 
2.10000 48.662 38.994 
2.20000 49.163 39.318 
2.30000 49.654 39.635 
2.40000 50.129 39.943 
2.50000 50.583 40.238 
2.60000 51.014 40.518 
2.70000 51.419 40.780 
2.80000 51.798 41.026 
2.90000 52.157 41.258 
3.00000 52.502 41.482 
3.10000 52.839 41.700 
3.20000 53.171 41.916 
3.30000 53.504 42.133 
3.40000 53.840 42.353 
3.50000 54.181 42.577 
3.60000 54.532 42.808 
3.70000 54.893 43.047 
3.80000 55.267 43.295 
3.90000 55.652 43.552 
4.00000 56.050 43.818 
4.10000 56.457 44.091 
4.20000 56.874 44.370 
4.30000 57.299 44.656 
4.40000 57.732 44.948 
4.50000 58.172 45.245 
4.60000 58.619 45.546 
4.70000 59.071 45.852 
4.80000 59.528 46.162 
4.90000 59.990 46.475 
5.00000 60.457 46.792 
5.10000 60.927 47.111 
5.20000 61.402 47.434 
5.30000 61.632 47.594 
5.40000 60.356 46.750 
5.50000 59.519 46.200 
5.60000 58.948 45.827 
5.70000 58.554 45.572 
5.80000 58.484 45.533 
5.90000 59.076 45.933 
6.00000 59.672 46.337 
6.10000 60.272 46.744 
6.20000 60.877 47.153 
6.30000 61.485 47.566 
6.40000 62.098 47.982 
6.50000 62.714 48.400 
6.60000 63.334 48.822 
6.70000 63.958 49.245 
6.80000 64.585 49.672 
6.90000 65.215 50.101 
7.00000 65.849 50.532 
7.10000 66.486 50.966 
7.20000 67.126 51.401 
7.30000 67.768 51.839 
7.40000 68.413 52.279 
7.50000 69.060 52.720 
7.60000 69.710 53.163 
7.70000 70.361 53.608 
7.80000 71.015 54.054 
7.90000 71.670 54.501 
8.00000 72.327 54.950 
8.10000 72.985 55.400 
8.20000 73.645 55.851 
8.30000 74.306 56.303 
8.40000 74.968 56.755 
8.50000 75.632 57.209 
8.60000 76.296 57.663 
8.70000 76.961 58.118 
8.80000 77.626 58.574 
8.90000 78.293 59.030 
9.00000 78.959 59.486 
9.10000 79.626 59.943 
9.20000 80.294 60.400 
9.30000 80.961 60.857 
9.40000 81.629 61.314 
9.50000 82.296 61.772 
9.60000 82.964 62.229 
9.70000 83.631 62.687 
9.80000 84.298 63.144 
9.90000 84.965 63.601 
10.00000 85.631 64.058 
